MSOA code,MSOA name,Percentage_of_adresses_with_private_outdoor_space,Average_size_of_private_outdoor_space_m2
E02000001,City of London 001,0.07,110
E02000002,Barking and Dagenham 001,0.77,663.7
E02000003,Barking and Dagenham 002,0.86,169.9
E02000004,Barking and Dagenham 003,0.93,190.2
E02000005,Barking and Dagenham 004,0.95,136.6
E02000007,Barking and Dagenham 006,0.79,154.3
E02000008,Barking and Dagenham 007,0.96,140.1
E02000009,Barking and Dagenham 008,0.87,145.6
E02000010,Barking and Dagenham 009,0.92,147.7
E02000011,Barking and Dagenham 010,0.92,172.6
E02000012,Barking and Dagenham 011,0.86,165.5
E02000013,Barking and Dagenham 012,0.96,145.9
E02000014,Barking and Dagenham 013,0.96,154.7
E02000015,Barking and Dagenham 014,0.70,143.7
E02000016,Barking and Dagenham 015,0.40,91.9
E02000017,Barking and Dagenham 016,0.85,105.9
E02000018,Barking and Dagenham 017,0.93,140.7
E02000019,Barking and Dagenham 018,0.95,138.1
E02000020,Barking and Dagenham 019,0.91,129.3
E02000021,Barking and Dagenham 020,0.93,280
E02000022,Barking and Dagenham 021,0.43,123.3
E02000023,Barking and Dagenham 022,0.83,144.1
E02000024,Barnet 001,0.87,287.3
E02000025,Barnet 002,0.85,289.9
E02000026,Barnet 003,0.89,263.8
E02000027,Barnet 004,0.90,199.3
E02000028,Barnet 005,0.76,281
E02000029,Barnet 006,0.79,236.7
E02000030,Barnet 007,0.91,675.4
E02000031,Barnet 008,0.75,332.1
E02000032,Barnet 009,0.96,227.8
E02000033,Barnet 010,0.90,186.3
E02000034,Barnet 011,0.79,300.7
E02000035,Barnet 012,0.72,249.9
E02000036,Barnet 013,0.86,251.7
E02000037,Barnet 014,0.85,261.1
E02000038,Barnet 015,0.86,218.3
E02000039,Barnet 016,0.84,390.9
E02000040,Barnet 017,0.82,275.9
E02000041,Barnet 018,0.81,222.1
E02000042,Barnet 019,0.69,194.8
E02000043,Barnet 020,0.97,275.4
E02000044,Barnet 021,0.92,175
E02000045,Barnet 022,0.69,165.2
E02000046,Barnet 023,0.83,198.8
E02000047,Barnet 024,0.77,153.5
E02000048,Barnet 025,0.76,244.9
E02000049,Barnet 026,0.75,184.9
E02000050,Barnet 027,0.86,155
E02000051,Barnet 028,0.73,274.5
E02000052,Barnet 029,0.73,145.5
E02000053,Barnet 030,0.72,160.4
E02000054,Barnet 031,0.72,282.5
E02000055,Barnet 032,0.64,314.1
E02000056,Barnet 033,0.84,1155.5
E02000057,Barnet 034,0.70,211
E02000058,Barnet 035,0.86,840.1
E02000059,Barnet 036,0.77,148.1
E02000060,Barnet 037,0.83,226.3
E02000061,Barnet 038,0.86,276.3
E02000062,Barnet 039,0.82,142.4
E02000063,Barnet 040,0.81,184.8
E02000064,Barnet 041,0.65,238.3
E02000065,Bexley 001,0.87,92.5
E02000066,Bexley 002,0.60,125.8
E02000067,Bexley 003,0.83,157.4
E02000068,Bexley 004,0.66,132.1
E02000069,Bexley 005,0.84,204.4
E02000070,Bexley 006,0.94,225.2
E02000071,Bexley 007,0.95,176.7
E02000072,Bexley 008,0.89,139.6
E02000073,Bexley 009,0.98,221.6
E02000074,Bexley 010,0.90,173.7
E02000075,Bexley 011,0.98,255.1
E02000077,Bexley 013,0.94,194
E02000078,Bexley 014,1.00,234.1
E02000079,Bexley 015,0.85,212.4
E02000080,Bexley 016,0.90,214.4
E02000081,Bexley 017,0.96,230.8
E02000082,Bexley 018,0.98,201.3
E02000083,Bexley 019,0.91,184.5
E02000084,Bexley 020,0.96,262.9
E02000085,Bexley 021,0.94,243.5
E02000086,Bexley 022,0.97,219
E02000087,Bexley 023,0.89,354
E02000088,Bexley 024,0.98,246.2
E02000089,Bexley 025,0.98,815.1
E02000090,Bexley 026,0.75,244.2
E02000091,Bexley 027,0.73,304.9
E02000092,Bexley 028,0.91,282.7
E02000093,Brent 001,0.91,185.3
E02000094,Brent 002,0.75,184.1
E02000095,Brent 003,0.82,213
E02000096,Brent 004,0.89,355.6
E02000097,Brent 005,0.96,238.3
E02000098,Brent 006,0.89,267.7
E02000099,Brent 007,0.91,228.2
E02000100,Brent 008,0.92,314.1
E02000101,Brent 009,0.75,254
E02000102,Brent 010,0.92,151.1
E02000103,Brent 011,0.74,214.5
E02000104,Brent 012,0.86,258.6
E02000105,Brent 013,0.81,198.5
E02000106,Brent 014,0.88,169.6
E02000107,Brent 015,0.88,205.3
E02000108,Brent 016,0.86,174.9
E02000109,Brent 017,0.40,176.5
E02000110,Brent 018,0.94,160.7
E02000111,Brent 019,0.82,187
E02000112,Brent 020,0.80,146.5
E02000113,Brent 021,0.75,123.1
E02000114,Brent 022,0.87,211.5
E02000115,Brent 023,0.83,138
E02000116,Brent 024,0.83,101.3
E02000117,Brent 025,0.87,118.1
E02000118,Brent 026,0.89,151.8
E02000119,Brent 027,0.82,91.7
E02000120,Brent 028,0.82,141.1
E02000121,Brent 029,0.76,158.5
E02000122,Brent 030,0.90,1409.4
E02000123,Brent 031,0.87,107.8
E02000124,Brent 032,0.88,105.7
E02000125,Brent 033,0.95,130
E02000126,Brent 034,0.70,166.8
E02000127,Bromley 001,0.88,187
E02000128,Bromley 002,0.91,231.5
E02000130,Bromley 004,0.88,202.7
E02000131,Bromley 005,0.80,291.8
E02000132,Bromley 006,0.63,323
E02000133,Bromley 007,0.88,555
E02000134,Bromley 008,0.73,211.4
E02000135,Bromley 009,0.78,184.9
E02000136,Bromley 010,0.95,475.9
E02000137,Bromley 011,0.66,420.1
E02000138,Bromley 012,0.57,392.3
E02000139,Bromley 013,0.86,199.4
E02000140,Bromley 014,0.92,211.7
E02000141,Bromley 015,0.88,188
E02000142,Bromley 016,0.84,309.4
E02000144,Bromley 018,0.69,279.4
E02000145,Bromley 019,0.89,243.1
E02000146,Bromley 020,0.86,189.6
E02000147,Bromley 021,0.83,555.5
E02000148,Bromley 022,0.92,401
E02000149,Bromley 023,0.92,241.8
E02000150,Bromley 024,0.93,238.3
E02000151,Bromley 025,0.98,375.9
E02000152,Bromley 026,0.86,231.5
E02000153,Bromley 027,0.98,303.7
E02000154,Bromley 028,0.86,364.1
E02000155,Bromley 029,0.93,251.2
E02000156,Bromley 030,0.89,338.2
E02000157,Bromley 031,0.94,347.4
E02000158,Bromley 032,0.87,344.5
E02000159,Bromley 033,0.94,620.7
E02000160,Bromley 034,0.90,363
E02000161,Bromley 035,0.96,276.5
E02000162,Bromley 036,0.88,364.3
E02000163,Bromley 037,0.92,551.7
E02000165,Bromley 039,0.95,298.6
E02000166,Camden 001,0.80,279.9
E02000167,Camden 002,0.77,149.7
E02000168,Camden 003,0.86,157.3
E02000169,Camden 004,0.90,267.3
E02000170,Camden 005,0.90,145.5
E02000171,Camden 006,0.79,111.9
E02000172,Camden 007,0.66,116.5
E02000173,Camden 008,0.72,158.6
E02000174,Camden 009,0.70,121.6
E02000175,Camden 010,0.79,165.4
E02000176,Camden 011,0.88,133.1
E02000177,Camden 012,0.56,103.5
E02000178,Camden 013,0.83,197
E02000179,Camden 014,0.55,123.2
E02000180,Camden 015,0.70,163.5
E02000181,Camden 016,0.90,271.8
E02000182,Camden 017,0.51,161.5
E02000183,Camden 018,0.74,74.6
E02000184,Camden 019,0.44,86.4
E02000185,Camden 020,0.43,119.5
E02000186,Camden 021,0.58,89
E02000187,Camden 022,0.21,52.2
E02000188,Camden 023,0.27,59.7
E02000189,Camden 024,0.47,55.1
E02000190,Camden 025,0.39,43.9
E02000191,Camden 026,0.42,44.5
E02000192,Camden 027,0.33,53
E02000193,Camden 028,0.33,150.8
E02000194,Croydon 001,0.83,199.9
E02000195,Croydon 002,0.91,279.5
E02000196,Croydon 003,0.86,196.7
E02000197,Croydon 004,0.86,152.1
E02000198,Croydon 005,0.84,132.6
E02000199,Croydon 006,0.98,130.9
E02000200,Croydon 007,0.82,179
E02000201,Croydon 008,0.80,120.8
E02000202,Croydon 009,0.92,111.7
E02000203,Croydon 010,0.83,109.6
E02000204,Croydon 011,0.85,125
E02000206,Croydon 013,0.88,128.9
E02000207,Croydon 014,0.87,138.4
E02000208,Croydon 015,0.68,117.1
E02000209,Croydon 016,0.89,170.8
E02000210,Croydon 017,0.92,107.5
E02000211,Croydon 018,0.91,244.3
E02000212,Croydon 019,0.83,114.7
E02000213,Croydon 020,0.70,124.1
E02000214,Croydon 021,0.95,206.3
E02000215,Croydon 022,0.75,140.5
E02000216,Croydon 023,0.66,349
E02000217,Croydon 024,0.73,100.3
E02000218,Croydon 025,0.79,302.5
E02000219,Croydon 026,0.94,489.3
E02000220,Croydon 027,0.47,241.2
E02000221,Croydon 028,0.75,208.8
E02000222,Croydon 029,0.83,330.7
E02000223,Croydon 030,0.92,142.5
E02000224,Croydon 031,0.90,230.7
E02000225,Croydon 032,0.94,205.9
E02000226,Croydon 033,0.97,427.6
E02000227,Croydon 034,0.90,198.4
E02000228,Croydon 035,0.90,552.1
E02000229,Croydon 036,0.87,203.7
E02000230,Croydon 037,0.80,474.5
E02000231,Croydon 038,0.93,829.2
E02000232,Croydon 039,0.94,405.2
E02000233,Croydon 040,0.90,362.5
E02000234,Croydon 041,0.84,391.9
E02000235,Croydon 042,0.90,535
E02000236,Croydon 043,0.95,347.3
E02000237,Croydon 044,0.91,391.8
E02000238,Ealing 001,0.84,159.5
E02000239,Ealing 002,0.97,181
E02000240,Ealing 003,0.76,164.6
E02000241,Ealing 004,0.87,171.6
E02000242,Ealing 005,0.87,158.4
E02000243,Ealing 006,0.89,172.5
E02000244,Ealing 007,0.84,137.4
E02000245,Ealing 008,0.66,144.3
E02000246,Ealing 009,0.69,185
E02000247,Ealing 010,0.77,175.6
E02000248,Ealing 011,0.82,227.4
E02000249,Ealing 012,0.85,212.2
E02000250,Ealing 013,0.83,180.1
E02000251,Ealing 014,0.95,143.3
E02000252,Ealing 015,0.66,138.1
E02000253,Ealing 016,0.82,143.4
E02000254,Ealing 017,0.93,138.7
E02000255,Ealing 018,0.78,176.5
E02000256,Ealing 019,0.74,510.7
E02000257,Ealing 020,0.72,234.5
E02000258,Ealing 021,0.91,184.4
E02000259,Ealing 022,0.91,154.5
E02000260,Ealing 023,0.85,164
E02000261,Ealing 024,0.77,171.3
E02000262,Ealing 025,0.77,116.3
E02000263,Ealing 026,0.91,93.7
E02000264,Ealing 027,0.88,181.2
E02000265,Ealing 028,0.83,101.4
E02000266,Ealing 029,0.84,147.5
E02000267,Ealing 030,0.92,106.1
E02000268,Ealing 031,0.90,158.1
E02000269,Ealing 032,0.91,112.9
E02000270,Ealing 033,0.74,108.4
E02000271,Ealing 034,0.88,108.2
E02000272,Ealing 035,0.97,114.7
E02000274,Ealing 037,0.90,97.9
E02000275,Ealing 038,0.86,178.6
E02000276,Ealing 039,0.90,123.6
E02000277,Enfield 001,0.89,172.3
E02000278,Enfield 002,0.81,170.7
E02000279,Enfield 003,0.77,137.4
E02000280,Enfield 004,0.89,238.9
E02000281,Enfield 005,0.77,156.1
E02000282,Enfield 006,0.73,163.5
E02000283,Enfield 007,0.97,168.5
E02000284,Enfield 008,0.85,162.6
E02000285,Enfield 009,0.97,199.4
E02000286,Enfield 010,0.74,304
E02000287,Enfield 011,0.80,567.8
E02000288,Enfield 012,0.83,170.8
E02000289,Enfield 013,0.98,282.1
E02000290,Enfield 014,0.64,151.8
E02000291,Enfield 015,0.67,185.5
E02000292,Enfield 016,0.98,128.8
E02000293,Enfield 017,0.95,381.4
E02000294,Enfield 018,0.96,137.7
E02000295,Enfield 019,0.75,274.9
E02000296,Enfield 020,0.69,227.2
E02000297,Enfield 021,0.91,194
E02000298,Enfield 022,0.93,304.3
E02000299,Enfield 023,0.93,100.7
E02000300,Enfield 024,0.89,113.2
E02000301,Enfield 025,0.84,116.4
E02000302,Enfield 026,0.94,161.1
E02000303,Enfield 027,0.85,174.8
E02000304,Enfield 028,0.96,292.6
E02000305,Enfield 029,0.92,176
E02000306,Enfield 030,0.55,111.6
E02000307,Enfield 031,0.98,114.6
E02000308,Enfield 032,0.80,161.4
E02000309,Enfield 033,0.83,99.9
E02000311,Enfield 035,0.91,144.5
E02000312,Enfield 036,0.90,127.7
E02000313,Greenwich 001,0.92,76.1
E02000314,Greenwich 002,0.86,96.1
E02000315,Greenwich 003,0.87,132.8
E02000316,Greenwich 004,0.50,98.1
E02000317,Greenwich 005,0.65,106.3
E02000318,Greenwich 006,0.94,89.4
E02000319,Greenwich 007,0.83,84
E02000320,Greenwich 008,0.94,116.4
E02000321,Greenwich 009,0.79,80.4
E02000323,Greenwich 011,0.77,119.4
E02000324,Greenwich 012,0.76,195.5
E02000326,Greenwich 014,0.87,111.1
E02000327,Greenwich 015,0.86,119.2
E02000328,Greenwich 016,0.86,190
E02000329,Greenwich 017,0.97,151.3
E02000331,Greenwich 019,0.87,187
E02000332,Greenwich 020,0.92,199.4
E02000333,Greenwich 021,0.86,239.5
E02000334,Greenwich 022,0.89,208.2
E02000335,Greenwich 023,0.99,191.7
E02000337,Greenwich 025,0.92,194.7
E02000339,Greenwich 027,0.87,238.4
E02000340,Greenwich 028,0.81,360.5
E02000341,Greenwich 029,0.90,230.1
E02000342,Greenwich 030,0.87,207.2
E02000343,Greenwich 031,0.92,260.1
E02000344,Greenwich 032,0.94,258.9
E02000345,Hackney 001,0.74,124.2
E02000346,Hackney 002,0.63,200.6
E02000347,Hackney 003,0.77,144.4
E02000348,Hackney 004,0.56,105.4
E02000350,Hackney 006,0.87,136.2
E02000351,Hackney 007,0.88,178.8
E02000352,Hackney 008,0.76,117.9
E02000353,Hackney 009,0.78,82.3
E02000354,Hackney 010,0.82,95.6
E02000355,Hackney 011,0.91,91.6
E02000356,Hackney 012,0.79,423.1
E02000357,Hackney 013,0.85,70.1
E02000358,Hackney 014,0.70,77.9
E02000359,Hackney 015,0.94,83.7
E02000360,Hackney 016,0.63,85.8
E02000361,Hackney 017,0.63,94.1
E02000362,Hackney 018,0.82,79.1
E02000363,Hackney 019,0.65,100.1
E02000364,Hackney 020,0.82,145.8
E02000365,Hackney 021,0.66,110.4
E02000366,Hackney 022,0.87,98.1
E02000367,Hackney 023,0.69,84.4
E02000368,Hackney 024,0.72,99.5
E02000369,Hackney 025,0.49,99.8
E02000370,Hackney 026,0.50,95.7
E02000371,Hackney 027,0.30,71.2
E02000372,Hammersmith and Fulham 001,0.85,101
E02000373,Hammersmith and Fulham 002,0.76,120.8
E02000374,Hammersmith and Fulham 003,0.92,127.5
E02000375,Hammersmith and Fulham 004,0.81,76.4
E02000376,Hammersmith and Fulham 005,0.86,88.8
E02000377,Hammersmith and Fulham 006,0.82,108.4
E02000378,Hammersmith and Fulham 007,0.86,108
E02000379,Hammersmith and Fulham 008,0.71,129.7
E02000380,Hammersmith and Fulham 009,0.91,68.6
E02000381,Hammersmith and Fulham 010,0.92,92.4
E02000382,Hammersmith and Fulham 011,0.82,119.5
E02000383,Hammersmith and Fulham 012,0.74,79.1
E02000384,Hammersmith and Fulham 013,0.69,58.5
E02000385,Hammersmith and Fulham 014,0.92,59.1
E02000386,Hammersmith and Fulham 015,0.78,61.4
E02000387,Hammersmith and Fulham 016,0.67,55.6
E02000388,Hammersmith and Fulham 017,0.80,71.9
