Middle layer Super Output Areas Code,Middle layer Super Output Areas,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,Total
E02000001,City of London 001,579,1149,2215,1817,1617,1206,8583
E02000002,Barking and Dagenham 001,2297,903,1185,1781,1191,924,8281
E02000003,Barking and Dagenham 002,2695,1316,1849,2488,1919,1274,11541
E02000004,Barking and Dagenham 003,1325,728,1006,1329,1251,1001,6640
E02000005,Barking and Dagenham 004,3096,1193,1553,2692,1663,883,11080
E02000007,Barking and Dagenham 006,2696,1159,1526,2208,1595,978,10162
E02000008,Barking and Dagenham 007,3399,1412,1752,3146,2332,1209,13250
E02000009,Barking and Dagenham 008,3510,1604,1941,2991,1913,905,12864
E02000010,Barking and Dagenham 009,2410,1077,1365,2148,1654,831,9485
E02000011,Barking and Dagenham 010,1613,832,1028,1488,1177,892,7030
E02000012,Barking and Dagenham 011,2666,1618,1760,2459,1814,1194,11511
E02000013,Barking and Dagenham 012,2432,1037,1322,2196,1492,919,9398
E02000014,Barking and Dagenham 013,2432,1105,1420,2234,1638,1036,9865
E02000015,Barking and Dagenham 014,2200,879,1276,1800,1346,727,8228
E02000016,Barking and Dagenham 015,2984,1128,2143,2696,1254,361,10566
E02000017,Barking and Dagenham 016,1991,1150,1511,2269,1450,762,9133
E02000018,Barking and Dagenham 017,2554,1086,1407,2271,1448,786,9552
E02000019,Barking and Dagenham 018,2641,1087,1428,2139,1525,842,9662
E02000020,Barking and Dagenham 019,3791,1526,2379,3512,1895,951,14054
E02000021,Barking and Dagenham 020,2391,987,1142,1960,1413,866,8759
E02000022,Barking and Dagenham 021,2324,871,1412,2040,813,281,7741
E02000023,Barking and Dagenham 022,2413,990,1208,1914,1101,394,8020
E02000024,Barnet 001,1918,944,1245,2313,2236,2185,10841
E02000025,Barnet 002,1595,729,1171,1958,1781,1348,8582
E02000026,Barnet 003,1241,555,818,1299,1309,1235,6457
E02000027,Barnet 004,1920,1018,1140,2145,1887,1538,9648
E02000028,Barnet 005,1228,574,863,1467,1325,1076,6533
E02000029,Barnet 006,2240,994,1283,2218,1773,1171,9679
E02000030,Barnet 007,1740,897,904,1856,2047,2011,9455
E02000031,Barnet 008,1521,632,1179,1928,1473,1598,8331
E02000032,Barnet 009,1515,782,711,1649,1751,1531,7939
E02000033,Barnet 010,1746,855,1128,2022,1831,1309,8891
E02000034,Barnet 011,1807,822,1239,2061,1663,1495,9087
E02000035,Barnet 012,1446,677,1425,2052,1418,1512,8530
E02000036,Barnet 013,2596,1107,1478,2349,2055,1659,11244
E02000037,Barnet 014,2623,1097,1325,2234,1736,1821,10836
E02000038,Barnet 015,2077,1012,1397,2483,2109,1644,10722
E02000039,Barnet 016,1512,694,866,1569,1354,1173,7168
E02000040,Barnet 017,1889,975,1354,2126,1463,1331,9138
E02000041,Barnet 018,2007,985,1378,2090,1555,1441,9456
E02000042,Barnet 019,2153,981,1802,2933,1981,1709,11559
E02000043,Barnet 020,1679,579,856,1790,1419,1247,7570
E02000044,Barnet 021,1969,992,1283,2118,1570,912,8844
E02000045,Barnet 022,2240,1030,1367,2608,2032,1248,10525
E02000046,Barnet 023,1262,535,1334,1787,1158,886,6962
E02000047,Barnet 024,2816,1457,1882,2874,2020,1348,12397
E02000048,Barnet 025,2196,957,1366,2295,1718,1751,10283
E02000049,Barnet 026,2512,1304,1737,2553,1663,763,10532
E02000050,Barnet 027,2013,1151,1488,2357,1935,1433,10377
E02000051,Barnet 028,1666,813,1291,2051,1581,1758,9160
E02000052,Barnet 029,1879,742,1716,2427,1720,1367,9851
E02000054,Barnet 031,1410,873,1333,1800,1218,998,7632
E02000055,Barnet 032,2229,1684,2188,2505,1760,1359,11725
E02000056,Barnet 033,1929,762,980,1907,1704,1848,9130
E02000057,Barnet 034,2079,1010,1376,1600,1039,909,8013
E02000058,Barnet 035,2267,898,1402,2276,1570,1814,10227
E02000059,Barnet 036,2003,1147,2353,2818,2026,1280,11627
E02000060,Barnet 037,3562,1235,1715,2068,1399,1579,11558
E02000061,Barnet 038,1458,769,1391,2005,1409,1313,8345
E02000062,Barnet 039,1493,800,1162,1662,1177,662,6956
E02000063,Barnet 040,1501,805,1174,1800,1354,950,7584
E02000064,Barnet 041,1339,720,1242,1497,1121,755,6674
E02000065,Bexley 001,2122,925,1020,1766,1613,616,8062
E02000066,Bexley 002,2178,1096,1259,1968,1883,1045,9429
E02000067,Bexley 003,2325,1032,1735,2308,1738,1093,10231
E02000068,Bexley 004,2147,860,1270,1815,1273,808,8173
E02000069,Bexley 005,1538,660,1069,1498,1260,1187,7212
E02000070,Bexley 006,1557,738,936,1569,1708,1603,8111
E02000071,Bexley 007,1686,839,921,1559,1507,1161,7673
E02000072,Bexley 008,3436,1456,1892,2894,2230,1016,12924
E02000073,Bexley 009,2022,1071,1171,2149,2231,2082,10726
E02000074,Bexley 010,2000,889,1265,1816,1663,1228,8861
E02000075,Bexley 011,1380,731,835,1480,1667,1893,7986
E02000077,Bexley 013,1570,856,990,1752,1609,1363,8140
E02000078,Bexley 014,1539,709,1027,1642,1505,1510,7932
E02000079,Bexley 015,1673,735,1211,1889,1556,1706,8770
E02000080,Bexley 016,1978,920,1331,2174,1922,1740,10065
E02000081,Bexley 017,1689,752,955,1672,1619,1619,8306
E02000082,Bexley 018,1880,905,1110,2002,1888,1551,9336
E02000083,Bexley 019,2386,1153,1788,2397,2066,1480,11270
E02000084,Bexley 020,2186,986,1263,2332,2253,2096,11116
E02000085,Bexley 021,1580,843,1037,1578,1522,1400,7960
E02000086,Bexley 022,1325,658,797,1359,1618,1421,7178
E02000087,Bexley 023,1486,719,951,1637,1697,1719,8209
E02000088,Bexley 024,1478,748,907,1559,1573,1485,7750
E02000089,Bexley 025,1518,799,816,1542,1592,1602,7869
E02000090,Bexley 026,1529,1218,1515,1864,1627,1886,9639
E02000091,Bexley 027,1750,1013,1245,1927,1966,2263,10164
E02000092,Bexley 028,1460,722,829,1310,1277,1155,6753
E02000093,Brent 001,2093,1353,2104,2658,1998,1671,11877
E02000094,Brent 002,1997,1263,1882,2363,1711,1241,10457
E02000095,Brent 003,1867,1153,1750,2332,1788,1573,10463
E02000096,Brent 004,1358,679,1054,1614,1308,1619,7632
E02000097,Brent 005,1775,1080,1516,2062,1782,1317,9532
E02000098,Brent 006,1587,1061,1292,1821,1549,1432,8742
E02000099,Brent 007,2019,1140,1865,2060,1471,1005,9560
E02000100,Brent 008,1139,1221,1295,1553,1592,1522,8322
E02000101,Brent 009,2004,1218,1489,2159,1752,1315,9937
E02000102,Brent 010,2103,1066,1122,1671,1482,884,8328
E02000103,Brent 011,2123,1228,1588,2024,1828,1185,9976
E02000104,Brent 012,1239,809,1297,1643,1373,1144,7505
E02000105,Brent 013,1990,1141,1724,2244,1652,1093,9844
E02000106,Brent 014,2094,1315,1656,2264,1822,1200,10351
E02000107,Brent 015,1876,1161,2044,2723,1973,1164,10941
E02000108,Brent 016,1403,856,1276,1641,1215,868,7259
E02000110,Brent 018,1406,951,1449,1797,1475,1097,8175
E02000111,Brent 019,2249,1353,1966,2630,1835,1250,11283
E02000112,Brent 020,2047,1351,2116,2995,2003,1237,11749
E02000113,Brent 021,2199,1467,1274,1767,1907,1016,9630
E02000114,Brent 022,1394,1003,1989,2212,1515,880,8993
E02000115,Brent 023,1332,888,1989,1994,1395,1024,8622
E02000116,Brent 024,1874,1034,1333,2070,1522,716,8549
E02000117,Brent 025,3053,1595,1661,2768,2429,1227,12733
E02000118,Brent 026,2043,1402,2115,2432,2097,1204,11293
E02000119,Brent 027,2452,1347,1814,2390,1740,881,10624
E02000120,Brent 028,1407,826,2107,2291,1513,874,9018
