Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom,2_bedrooms,3_bedrooms,4_or_more_bedrooms,Total
E02000001,City of London 001,2626,1578,522,189,4915
E02000002,Barking and Dagenham 001,343,1088,1177,262,2870
E02000003,Barking and Dagenham 002,434,1085,1814,597,3930
E02000004,Barking and Dagenham 003,144,515,1290,361,2310
E02000005,Barking and Dagenham 004,309,1281,1681,357,3628
E02000007,Barking and Dagenham 006,652,1275,1517,233,3677
E02000008,Barking and Dagenham 007,546,2045,1745,288,4624
E02000009,Barking and Dagenham 008,595,1707,1509,443,4254
E02000010,Barking and Dagenham 009,279,1524,1325,198,3326
E02000011,Barking and Dagenham 010,225,634,1136,358,2353
E02000012,Barking and Dagenham 011,295,556,1391,1046,3288
E02000013,Barking and Dagenham 012,306,1346,1385,217,3254
E02000014,Barking and Dagenham 013,257,1504,1424,203,3388
E02000015,Barking and Dagenham 014,809,894,1110,220,3033
E02000016,Barking and Dagenham 015,1445,1304,794,268,3811
E02000017,Barking and Dagenham 016,513,470,1107,675,2765
E02000018,Barking and Dagenham 017,385,1375,1235,239,3234
E02000019,Barking and Dagenham 018,188,1427,1332,259,3206
E02000020,Barking and Dagenham 019,721,1794,1650,508,4673
E02000021,Barking and Dagenham 020,375,706,1656,193,2930
E02000022,Barking and Dagenham 021,825,1344,549,78,2796
E02000023,Barking and Dagenham 022,621,822,962,257,2662
E02000024,Barnet 001,693,1133,1262,1389,4477
E02000025,Barnet 002,769,1319,828,830,3746
E02000026,Barnet 003,240,561,953,758,2512
E02000027,Barnet 004,507,987,1541,650,3685
E02000028,Barnet 005,382,826,713,771,2692
E02000029,Barnet 006,564,1238,1151,754,3707
E02000030,Barnet 007,203,725,991,1600,3519
E02000031,Barnet 008,437,860,884,1146,3327
E02000032,Barnet 009,115,140,1346,1143,2744
E02000033,Barnet 010,394,1036,1447,617,3494
E02000034,Barnet 011,569,1215,863,942,3589
E02000035,Barnet 012,720,1279,768,761,3528
E02000036,Barnet 013,450,1063,1379,1052,3944
E02000037,Barnet 014,364,808,963,1582,3717
E02000038,Barnet 015,604,1190,1212,999,4005
E02000039,Barnet 016,267,654,664,1089,2674
E02000040,Barnet 017,515,1147,969,878,3509
E02000041,Barnet 018,436,888,1100,901,3325
E02000042,Barnet 019,1232,1561,1037,887,4717
E02000043,Barnet 020,165,393,888,1220,2666
E02000044,Barnet 021,382,986,1211,491,3070
E02000045,Barnet 022,821,1524,1227,629,4201
E02000046,Barnet 023,628,907,606,738,2879
E02000047,Barnet 024,748,1578,1459,425,4210
E02000048,Barnet 025,383,1253,1107,1207,3950
E02000049,Barnet 026,907,1518,1038,339,3802
E02000050,Barnet 027,752,1192,1118,971,4033
E02000051,Barnet 028,626,1453,577,1137,3793
E02000052,Barnet 029,914,1319,1139,819,4191
E02000054,Barnet 031,690,895,600,786,2971
E02000055,Barnet 032,1019,1490,843,1154,4506
E02000056,Barnet 033,256,845,661,1680,3442
E02000057,Barnet 034,464,639,714,889,2706
E02000058,Barnet 035,655,973,1156,1313,4097
E02000059,Barnet 036,1143,1553,1144,596,4436
E02000060,Barnet 037,802,695,671,1527,3695
E02000061,Barnet 038,998,918,491,1167,3574
E02000062,Barnet 039,575,870,827,343,2615
E02000063,Barnet 040,607,585,994,649,2835
E02000064,Barnet 041,525,1180,599,460,2764
E02000065,Bexley 001,471,816,997,491,2775
E02000066,Bexley 002,902,853,1140,652,3547
E02000067,Bexley 003,699,1523,1414,346,3982
E02000068,Bexley 004,549,1401,988,258,3196
E02000069,Bexley 005,331,826,1128,527,2812
E02000070,Bexley 006,191,732,1601,615,3139
E02000071,Bexley 007,145,638,1523,528,2834
E02000072,Bexley 008,705,1523,1960,500,4688
E02000073,Bexley 009,95,629,2164,1068,3956
E02000074,Bexley 010,674,1125,1389,315,3503
E02000075,Bexley 011,86,663,1551,849,3149
E02000077,Bexley 013,215,379,1743,599,2936
E02000078,Bexley 014,111,778,1364,766,3019
E02000079,Bexley 015,399,1075,1345,767,3586
E02000080,Bexley 016,244,939,1768,864,3815
E02000081,Bexley 017,305,752,1544,679,3280
E02000082,Bexley 018,107,465,1948,923,3443
E02000083,Bexley 019,506,1215,2154,569,4444
E02000084,Bexley 020,159,871,1857,1312,4199
E02000085,Bexley 021,134,1000,1211,728,3073
E02000086,Bexley 022,141,551,1267,829,2788
E02000087,Bexley 023,216,754,1182,1168,3320
E02000088,Bexley 024,71,598,1433,878,2980
E02000089,Bexley 025,76,403,1448,977,2904
E02000090,Bexley 026,766,1564,1081,783,4194
E02000091,Bexley 027,779,1290,1300,1079,4448
E02000092,Bexley 028,310,918,1118,368,2714
E02000093,Brent 001,319,804,1621,996,3740
E02000094,Brent 002,519,893,1311,744,3467
E02000095,Brent 003,247,697,1320,920,3184
E02000096,Brent 004,223,365,705,1204,2497
E02000097,Brent 005,290,594,1388,766,3038
E02000098,Brent 006,376,656,1006,837,2875
E02000099,Brent 007,356,770,1089,701,2916
E02000100,Brent 008,267,223,945,1132,2567
E02000101,Brent 009,666,1260,744,716,3386
E02000102,Brent 010,565,577,1050,493,2685
E02000103,Brent 011,634,1185,953,690,3462
E02000104,Brent 012,387,567,789,673,2416
E02000105,Brent 013,535,1017,856,700,3108
E02000106,Brent 014,718,1043,1040,786,3587
E02000107,Brent 015,1300,1393,736,934,4363
E02000108,Brent 016,370,576,840,487,2273
E02000110,Brent 018,713,680,855,846,3094
E02000111,Brent 019,448,1146,983,613,3190
E02000112,Brent 020,579,937,1284,696,3496
E02000113,Brent 021,650,1125,1096,419,3290
E02000114,Brent 022,1218,1248,639,602,3707
E02000115,Brent 023,1420,1496,545,415,3876
E02000116,Brent 024,807,1413,636,381,3237
E02000117,Brent 025,1308,1693,1211,547,4759
E02000118,Brent 026,549,755,1274,579,3157
E02000119,Brent 027,1114,1490,964,385,3953
E02000120,Brent 028,1613,1432,680,518,4243
E02000121,Brent 029,703,1176,1162,586,3627
E02000122,Brent 030,566,865,673,1056,3160
E02000123,Brent 031,1710,1987,1160,682,5539
E02000124,Brent 032,920,1560,770,911,4161
E02000125,Brent 033,662,1209,1101,971,3943
E02000126,Brent 034,1163,1435,580,227,3405
E02000127,Bromley 001,536,1216,1615,418,3785
E02000128,Bromley 002,209,833,1302,722,3066
E02000130,Bromley 004,745,1059,1069,792,3665
E02000131,Bromley 005,1773,2093,872,330,5068
E02000132,Bromley 006,1415,2066,884,577,4942
E02000133,Bromley 007,222,862,1084,2162,4330
E02000134,Bromley 008,1232,2132,1063,875,5302
E02000135,Bromley 009,1456,1709,998,280,4443
E02000136,Bromley 010,242,625,708,720,2295
E02000137,Bromley 011,714,1166,777,1017,3674
E02000138,Bromley 012,778,1550,761,1050,4139
E02000139,Bromley 013,609,959,990,750,3308
E02000140,Bromley 014,581,904,1455,399,3339
E02000141,Bromley 015,608,919,1089,478,3094
E02000142,Bromley 016,386,833,1023,1209,3451
E02000144,Bromley 018,756,1424,1109,1023,4312
E02000145,Bromley 019,515,1276,1446,277,3514
E02000146,Bromley 020,574,1311,1409,746,4040
E02000147,Bromley 021,326,516,697,1631,3170
E02000148,Bromley 022,166,466,961,1106,2699
E02000149,Bromley 023,300,1051,1456,476,3283
E02000150,Bromley 024,226,310,1497,1082,3115
E02000151,Bromley 025,52,420,1280,1218,2970
E02000152,Bromley 026,294,740,1517,546,3097
E02000153,Bromley 027,28,265,1483,1119,2895
E02000154,Bromley 028,427,846,1156,1144,3573
E02000155,Bromley 029,206,822,1494,518,3040
E02000156,Bromley 030,409,701,1858,1893,4861
E02000157,Bromley 031,57,568,1434,1222,3281
E02000158,Bromley 032,166,528,1525,815,3034
E02000159,Bromley 033,54,514,984,1270,2822
E02000160,Bromley 034,198,599,1137,1108,3042
E02000161,Bromley 035,124,487,1674,1061,3346
E02000162,Bromley 036,345,691,1092,836,2964
E02000163,Bromley 037,129,495,1177,1267,3068
E02000165,Bromley 039,79,431,1322,910,2742
E02000166,Camden 001,948,869,793,786,3396
E02000167,Camden 002,830,1066,712,765,3373
E02000168,Camden 003,1116,1041,721,616,3494
E02000169,Camden 004,525,948,892,662,3027
E02000170,Camden 005,958,991,703,813,3465
E02000171,Camden 006,915,1152,677,586,3330
E02000172,Camden 007,1341,1363,954,377,4035
E02000173,Camden 008,1219,1070,746,466,3501
E02000174,Camden 009,1205,1133,778,435,3551
E02000175,Camden 010,1595,1462,753,497,4307
E02000176,Camden 011,1048,1132,552,271,3003
E02000177,Camden 012,1158,1302,854,340,3654
E02000178,Camden 013,1753,1406,694,316,4169
E02000179,Camden 014,714,907,642,284,2547
E02000180,Camden 015,1195,1235,698,388,3516
E02000181,Camden 016,1032,1555,857,307,3751
E02000182,Camden 017,771,1149,743,420,3083
E02000183,Camden 018,1266,1125,721,509,3621
E02000184,Camden 019,1125,1420,773,317,3635
E02000185,Camden 020,1732,1335,718,285,4070
E02000186,Camden 021,1163,948,488,342,2941
E02000187,Camden 022,1338,1427,766,285,3816
E02000188,Camden 023,913,934,589,283,2719
E02000191,Camden 026,929,795,257,123,2104
E02000192,Camden 027,1230,1151,534,175,3090
E02000193,Camden 028,1504,952,444,201,3101
E02000194,Croydon 001,1217,1590,881,515,4203
E02000195,Croydon 002,290,750,1319,1131,3490
E02000196,Croydon 003,487,450,917,963,2817
E02000197,Croydon 004,369,1021,1183,745,3318
E02000198,Croydon 005,623,1338,1158,383,3502
E02000199,Croydon 006,342,779,1606,480,3207
E02000200,Croydon 007,1166,1408,929,494,3997
E02000201,Croydon 008,1290,1329,893,308,3820
E02000202,Croydon 009,282,577,1610,566,3035
E02000203,Croydon 010,829,932,969,388,3118
E02000204,Croydon 011,395,618,1509,703,3225
E02000206,Croydon 013,1134,1857,1107,368,4466
E02000207,Croydon 014,621,1169,1357,416,3563
E02000208,Croydon 015,1208,1458,1035,397,4098
E02000209,Croydon 016,331,965,1420,347,3063
E02000210,Croydon 017,377,1083,1600,384,3444
E02000211,Croydon 018,185,639,1624,847,3295
E02000212,Croydon 019,435,1205,1333,293,3266
E02000213,Croydon 020,1947,2289,750,405,5391
E02000214,Croydon 021,151,304,1085,786,2326
E02000215,Croydon 022,1771,1894,1099,491,5255
E02000216,Croydon 023,601,979,588,773,2941
E02000217,Croydon 024,1351,2149,1107,414,5021
E02000218,Croydon 025,91,623,1220,415,2349
E02000219,Croydon 026,91,529,1203,1160,2983
E02000221,Croydon 028,529,1375,1521,563,3988
E02000222,Croydon 029,747,1456,654,778,3635
E02000223,Croydon 030,261,768,1609,151,2789
E02000224,Croydon 031,595,1158,871,647,3271
E02000225,Croydon 032,134,652,1586,287,2659
E02000226,Croydon 033,50,194,1241,1294,2779
E02000227,Croydon 034,728,1066,2332,710,4836
E02000228,Croydon 035,147,386,886,1588,3007
E02000229,Croydon 036,285,689,1080,187,2241
E02000230,Croydon 037,699,1106,1018,1408,4231
E02000231,Croydon 038,138,353,454,1805,2750
E02000232,Croydon 039,64,373,1160,773,2370
E02000233,Croydon 040,171,574,1076,574,2395
E02000234,Croydon 041,500,895,1166,1157,3718
E02000235,Croydon 042,101,571,977,1008,2657
E02000236,Croydon 043,63,385,1728,1132,3308
E02000237,Croydon 044,177,577,1435,845,3034
E02000238,Ealing 001,767,836,1579,554,3736
E02000239,Ealing 002,202,301,1669,757,2929
E02000240,Ealing 003,489,1634,1364,410,3897
E02000241,Ealing 004,296,803,1131,371,2601
E02000242,Ealing 005,268,347,1156,460,2231
E02000243,Ealing 006,578,698,1299,553,3128
E02000244,Ealing 007,548,569,1332,489,2938
E02000245,Ealing 008,793,1405,848,308,3354
