Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household_is_not_deprived_in_any_dimension,Household_is_deprived_in_one_dimension,Household_is_deprived_in_two_dimensions,Household_is_deprived_in_three_dimensions,Household_is_deprived_in_four_dimensions,total
E02000001,City of London 001,2937,1547,347,75,8,4914
E02000002,Barking and Dagenham 001,954,1085,613,194,24,2870
E02000003,Barking and Dagenham 002,1649,1467,667,145,2,3930
E02000004,Barking and Dagenham 003,1014,829,365,98,3,2309
E02000005,Barking and Dagenham 004,1544,1252,620,201,13,3630
E02000007,Barking and Dagenham 006,1335,1320,739,265,16,3675
E02000008,Barking and Dagenham 007,1546,1729,1017,306,26,4624
E02000009,Barking and Dagenham 008,1578,1600,811,252,13,4254
E02000010,Barking and Dagenham 009,1219,1241,634,211,22,3327
E02000011,Barking and Dagenham 010,904,912,433,90,13,2352
E02000012,Barking and Dagenham 011,1394,1145,605,134,9,3287
E02000013,Barking and Dagenham 012,1103,1216,695,225,15,3254
E02000014,Barking and Dagenham 013,1177,1262,692,245,12,3388
E02000015,Barking and Dagenham 014,1041,1145,632,202,13,3033
E02000016,Barking and Dagenham 015,1433,1449,694,214,21,3811
E02000017,Barking and Dagenham 016,1018,1086,473,180,8,2765
E02000018,Barking and Dagenham 017,1086,1234,673,231,10,3234
E02000019,Barking and Dagenham 018,1202,1178,633,187,4,3204
E02000020,Barking and Dagenham 019,1946,1710,792,217,7,4672
E02000021,Barking and Dagenham 020,1098,1155,530,138,8,2929
E02000022,Barking and Dagenham 021,1146,1020,463,153,12,2794
E02000023,Barking and Dagenham 022,961,983,520,175,23,2662
E02000024,Barnet 001,2505,1458,430,80,4,4477
E02000025,Barnet 002,1800,1231,538,156,22,3747
E02000026,Barnet 003,1392,744,316,51,7,2510
E02000027,Barnet 004,1712,1176,601,183,13,3685
E02000028,Barnet 005,1477,841,309,57,8,2692
E02000029,Barnet 006,1852,1186,502,154,13,3707
E02000030,Barnet 007,2006,1037,379,90,7,3519
E02000031,Barnet 008,1960,972,322,69,4,3327
E02000032,Barnet 009,1499,928,272,44,1,2744
E02000033,Barnet 010,1744,1126,498,117,7,3492
E02000034,Barnet 011,1863,1184,417,115,9,3588
E02000035,Barnet 012,1859,1126,415,114,15,3529
E02000036,Barnet 013,1900,1364,525,148,7,3944
E02000037,Barnet 014,1970,1186,474,81,6,3717
E02000038,Barnet 015,2078,1279,521,117,10,4005
E02000039,Barnet 016,1500,856,235,79,6,2676
E02000040,Barnet 017,1944,1011,443,106,7,3511
E02000041,Barnet 018,1510,1160,522,113,21,3326
E02000042,Barnet 019,2146,1619,697,209,46,4717
E02000043,Barnet 020,1674,754,200,35,4,2667
E02000044,Barnet 021,1222,1123,540,170,15,3070
E02000045,Barnet 022,1952,1381,661,192,15,4201
E02000046,Barnet 023,1513,960,319,77,10,2879
E02000047,Barnet 024,1418,1685,828,266,13,4210
E02000048,Barnet 025,2186,1215,441,95,12,3949
E02000049,Barnet 026,1445,1341,713,271,32,3802
E02000050,Barnet 027,1861,1371,613,179,10,4034
E02000051,Barnet 028,1931,1229,473,132,28,3793
E02000052,Barnet 029,2200,1409,457,117,8,4191
E02000054,Barnet 031,1400,986,457,108,20,2971
E02000055,Barnet 032,1893,1713,692,189,21,4508
E02000056,Barnet 033,2212,936,252,36,6,3442
E02000057,Barnet 034,1298,885,384,111,28,2706
E02000058,Barnet 035,2216,1287,454,125,16,4098
E02000059,Barnet 036,1855,1608,747,207,20,4437
E02000060,Barnet 037,1694,1246,545,165,45,3695
E02000061,Barnet 038,1891,1154,376,110,43,3574
E02000062,Barnet 039,939,972,496,189,20,2616
E02000063,Barnet 040,1237,1010,423,134,29,2833
E02000064,Barnet 041,1323,908,393,121,17,2762
E02000065,Bexley 001,1143,1039,452,132,9,2775
E02000066,Bexley 002,1301,1338,661,228,20,3548
E02000067,Bexley 003,1793,1388,617,167,18,3983
E02000068,Bexley 004,1331,1095,606,149,15,3196
E02000069,Bexley 005,1298,1043,365,96,8,2810
E02000070,Bexley 006,1433,1114,489,97,7,3140
E02000071,Bexley 007,1288,1044,415,82,5,2834
E02000072,Bexley 008,1957,1550,858,299,21,4685
E02000073,Bexley 009,2122,1327,428,74,6,3957
E02000074,Bexley 010,1373,1258,671,186,15,3503
E02000075,Bexley 011,1597,1114,382,52,4,3149
E02000077,Bexley 013,1421,981,435,96,3,2936
E02000078,Bexley 014,1607,992,357,58,5,3019
E02000079,Bexley 015,1858,1211,433,79,7,3588
E02000080,Bexley 016,1890,1334,504,84,3,3815
E02000081,Bexley 017,1589,1121,461,105,3,3279
E02000082,Bexley 018,1920,1087,379,54,3,3443
E02000083,Bexley 019,2166,1462,654,148,14,4444
E02000084,Bexley 020,2297,1390,445,64,3,4199
E02000085,Bexley 021,1553,1064,386,69,1,3073
E02000086,Bexley 022,1542,905,289,50,2,2788
E02000087,Bexley 023,1842,1091,335,48,2,3318
E02000088,Bexley 024,1644,938,342,52,4,2980
E02000089,Bexley 025,1598,973,276,53,4,2904
E02000090,Bexley 026,2229,1385,475,99,6,4194
E02000091,Bexley 027,2165,1521,631,126,7,4450
E02000092,Bexley 028,1122,935,477,170,10,2714
E02000093,Brent 001,1696,1398,541,101,4,3740
E02000094,Brent 002,1561,1220,546,138,2,3467
E02000095,Brent 003,1338,1220,505,119,3,3185
E02000096,Brent 004,1262,899,298,38,2,2499
E02000097,Brent 005,1242,1134,527,132,3,3038
E02000098,Brent 006,1178,1104,445,139,9,2875
E02000099,Brent 007,1243,1068,467,138,3,2919
E02000100,Brent 008,1299,898,319,51,0,2567
E02000101,Brent 009,1278,1250,669,177,12,3386
E02000102,Brent 010,775,1079,609,199,24,2686
E02000103,Brent 011,1276,1323,626,214,23,3462
E02000104,Brent 012,969,864,415,145,23,2416
