Local_Authority_District_code_(2019),Local_Authority_District_name_(2019),Barriers_to_Housing_and_Services_Average_rank,Barriers_to_Housing_and_Services_Rank_of_average_rank,Barriers_to_Housing_and_Services_Average_score,Barriers_to_Housing_and_Services_Rank_of_average_score,Barriers_to_Housing_and_Services_Proportion_of_LSOAs_in_most_deprived_10%_nationally,Barriers_to_Housing_and_Services_Rank_of_proportion_of_LSOAs_in_most_deprived_10%_nationally
E06000001,Hartlepool,9407.74,284,14.242,283,0.0000,250
E06000002,Middlesbrough,9341.76,286,14.183,284,0.0000,250
E06000003,Redcar_and_Cleveland,9611.85,283,14.139,286,0.0000,250
E06000004,StocktononTees,11053.82,264,15.870,264,0.0167,219
E06000005,Darlington,7041.46,306,11.942,306,0.0308,199
E06000006,Halton,11677.09,255,16.214,259,0.0000,250
E06000007,Warrington,12659.66,243,17.152,247,0.0000,250
E06000008,Blackburn_with_Darwen,7292.66,305,12.312,304,0.0000,250
E06000009,Blackpool,6680.23,308,11.804,308,0.0000,250
E06000010,Kingston_upon_Hull_City_of,16632.80,159,21.108,167,0.0422,183
E06000011,East_Riding_of_Yorkshire,14202.17,212,19.842,194,0.1190,97
E06000012,North_East_Lincolnshire,8431.98,296,13.386,294,0.0189,217
E06000013,North_Lincolnshire,10015.70,280,14.960,278,0.0495,166
E06000014,York,11183.05,261,15.871,263,0.0083,237
E06000015,Derby,15747.45,175,19.864,192,0.0000,250
E06000016,Leicester,11681.60,254,16.433,254,0.0000,250
E06000017,Rutland,16587.75,160,23.583,115,0.2609,27
E06000018,Nottingham,19298.19,86,23.586,114,0.0549,161
E06000019,Herefordshire_County_of,19597.93,78,26.817,52,0.2586,28
E06000020,Telford_and_Wrekin,15169.87,186,19.797,196,0.0278,202
E06000021,StokeonTrent,10863.12,269,15.555,269,0.0000,250
E06000022,Bath_and_North_East_Somerset,11777.70,253,16.763,248,0.0261,205
E06000023,Bristol_City_of,19266.50,87,23.624,113,0.0342,194
E06000024,North_Somerset,13627.32,230,18.520,228,0.0370,189
E06000025,South_Gloucestershire,14935.42,191,19.871,191,0.0424,181
E06000026,Plymouth,13754.15,227,18.139,233,0.0000,250
