Local_Authority_District_code_(2019),Local_Authority_District_name_(2019),Crime_Average_rank,Crime_Rank_of_average_rank,Crime_Average_score,Crime_Rank_of_average_score,Crime_Proportion_of_LSOAs_in_most_deprived_10%_nationally,Crime_Rank_of_proportion_of_LSOAs_in_most_deprived_10%_nationally
E06000001,Hartlepool,"22,855.72",27,0.566,25,0.3276,14
E06000002,Middlesbrough,"23,671.36",20,0.701,15,0.4535,3
E06000003,Redcar_and_Cleveland,"18,035.47",98,0.138,99,0.1364,58
E06000004,StocktononTees,"14,933.36",156,0.111,154,0.1000,84
E06000005,Darlington,"22,802.29",30,0.558,26,0.2923,20
E06000006,Halton,"19,691.22",76,0.272,76,0.1392,57
E06000007,Warrington,"14,828.34",158,0.137,159,0.0472,129
E06000008,Blackburn_with_Darwen,"21,336.20",56,0.409,54,0.1648,46
E06000009,Blackpool,"24,196.98",16,0.815,8,0.3617,10
E06000010,Kingston_upon_Hull_City_of,"25,816.06",7,0.841,6,0.3373,13
E06000011,East_Riding_of_Yorkshire,"10,256.91",233,0.542,242,0.0429,133
E06000012,North_East_Lincolnshire,"20,941.56",59,0.484,38,0.3679,9
E06000013,North_Lincolnshire,"17,341.69",118,0.111,104,0.1287,66
E06000014,York,"8,006.47",272,0.816,286,0.0000,201
E06000015,Derby,"15,492.88",144,0.105,151,0.0331,153
E06000016,Leicester,"22,146.30",41,0.484,37,0.2240,32
E06000017,Rutland,"3,559.10",313,1.205,311,0.0000,201
E06000018,Nottingham,"22,092.52",43,0.438,48,0.1538,49
E06000019,Herefordshire_County_of,"9,163.62",251,0.612,255,0.0000,201
E06000020,Telford_and_Wrekin,"18,532.64",93,0.190,92,0.1296,65
E06000021,StokeonTrent,"22,608.27",34,0.504,34,0.2201,33
E06000022,Bath_and_North_East_Somerset,"13,055.50",196,0.279,195,0.0087,197
E06000023,Bristol_City_of,"25,522.93",8,0.756,10,0.3080,19
E06000024,North_Somerset,"14,037.32",173,0.164,171,0.0667,106
E06000025,South_Gloucestershire,"13,566.69",184,0.222,183,0.0121,190
E06000026,Plymouth,"16,113.51",130,0.051,137,0.0994,85
E06000027,Torbay,"16,344.95",126,0.028,122,0.1124,73
E06000030,Swindon,"18,875.41",88,0.209,84,0.1515,51
E06000031,Peterborough,"22,746.52",32,0.523,30,0.2768,21
E06000032,Luton,"21,514.19",53,0.392,58,0.0496,126
E06000033,SouthendonSea,"18,668.61",92,0.203,86,0.0748,100
E06000034,Thurrock,"19,973.97",75,0.284,73,0.1122,74
E06000035,Medway,"22,630.51",33,0.555,27,0.2270,31
E06000036,Bracknell_Forest,"6,719.35",288,0.856,290,0.0000,201
E06000037,West_Berkshire,"8,333.28",265,0.665,266,0.0000,201
E06000038,Reading,"17,778.12",104,0.092,108,0.0619,111
E06000039,Slough,"21,892.70",49,0.412,51,0.0875,92
E06000040,Windsor_and_Maidenhead,"10,325.37",232,0.478,231,0.0000,201
E06000041,Wokingham,"5,309.27",301,0.981,300,0.0000,201
E06000042,Milton_Keynes,"14,700.06",163,0.137,158,0.0197,174
E06000043,Brighton_and_Hove,"15,058.96",150,0.066,144,0.0667,106
E06000044,Portsmouth,"23,830.88",18,0.652,19,0.2640,23
E06000045,Southampton,"26,616.97",3,0.881,4,0.3986,6
E06000046,Isle_of_Wight,"13,865.10",176,0.200,176,0.0112,191
E06000047,County_Durham,"19,540.73",79,0.260,78,0.1451,56
E06000049,Cheshire_East,"11,811.86",209,0.382,212,0.0385,145
E06000050,Cheshire_West_and_Chester,"12,973.78",197,0.284,196,0.0283,161
E06000051,Shropshire,"9,485.40",246,0.576,247,0.0000,201
E06000052,Cornwall,"8,140.28",270,0.713,270,0.0061,200
E06000053,Isles_of_Scilly,"5,765.00",295,0.778,282,0.0000,201
E06000054,Wiltshire,"9,875.94",240,0.532,238,0.0070,199
E06000055,Bedford,"15,145.33",149,0.116,155,0.0388,144
E06000056,Central_Bedfordshire,"13,370.22",190,0.235,189,0.0510,125
E06000057,Northumberland,"14,838.02",157,0.139,161,0.1320,63
E06000058,Bournemouth_Christchurch_and_Poole,"15,058.29",151,0.108,153,0.0515,124
E06000059,Dorset,"7,834.92",275,0.719,272,0.0091,196
E07000004,Aylesbury_Vale,"9,707.27",245,0.567,246,0.0000,201
E07000005,Chiltern,"7,118.94",283,0.761,280,0.0000,201
E07000006,South_Bucks,"15,146.86",148,0.107,152,0.0000,201
E07000007,Wycombe,"8,675.18",261,0.662,264,0.0000,201
E07000008,Cambridge,"18,487.03",95,0.151,98,0.0580,114
E07000009,East_Cambridgeshire,"6,985.74",286,0.743,274,0.0000,201
E07000010,Fenland,"15,854.12",136,0.032,131,0.0364,149
E07000011,Huntingdonshire,"11,171.55",222,0.404,217,0.0000,201
E07000012,South_Cambridgeshire,"9,290.89",248,0.540,240,0.0000,201
E07000026,Allerdale,"10,764.89",228,0.586,249,0.0000,201
E07000027,BarrowinFurness,"11,784.31",210,0.431,225,0.0816,96
E07000028,Carlisle,"13,785.51",178,0.323,204,0.0294,159
E07000029,Copeland,"8,020.62",271,0.810,285,0.0204,173
E07000030,Eden,"4,432.91",308,1.219,312,0.0000,201
E07000031,South_Lakeland,"4,876.49",303,1.160,309,0.0000,201
E07000032,Amber_Valley,"7,500.57",277,0.748,277,0.0000,201
E07000033,Bolsover,"9,803.16",243,0.509,233,0.0000,201
E07000034,Chesterfield,"8,823.18",257,0.643,259,0.0000,201
E07000035,Derbyshire_Dales,"3,749.87",312,1.171,310,0.0000,201
E07000036,Erewash,"11,344.99",216,0.406,219,0.0274,164
E07000037,High_Peak,"7,952.89",273,0.707,269,0.0000,201
E07000038,North_East_Derbyshire,"5,571.76",297,0.972,299,0.0000,201
E07000039,South_Derbyshire,"8,226.52",267,0.662,265,0.0000,201
E07000040,East_Devon,"5,736.96",296,0.938,296,0.0000,201
E07000041,Exeter,"12,337.34",203,0.352,207,0.0135,186
E07000042,Mid_Devon,"5,860.20",294,0.911,294,0.0000,201
E07000043,North_Devon,"8,156.24",269,0.728,273,0.0000,201
E07000044,South_Hams,"4,780.12",305,1.026,302,0.0000,201
E07000045,Teignbridge,"8,748.53",259,0.648,260,0.0000,201
E07000046,Torridge,"6,230.65",292,0.894,291,0.0000,201
E07000047,West_Devon,"5,413.97",299,0.968,298,0.0000,201
E07000061,Eastbourne,"15,876.62",134,0.045,134,0.0656,108
E07000062,Hastings,"22,152.62",40,0.460,44,0.1887,40
E07000063,Lewes,"9,989.08",234,0.517,235,0.0000,201
E07000064,Rother,"11,060.86",226,0.419,221,0.0000,201
E07000065,Wealden,"7,197.90",281,0.746,276,0.0000,201
E07000066,Basildon,"20,920.80",60,0.410,52,0.3182,17
E07000067,Braintree,"12,635.26",200,0.290,197,0.0000,201
