Local_Authority_District_code_(2019),Local_Authority_District_name_(2019),Education_Skills_and_Training_Average_rank,Education_Skills_and_Training_Rank_of_average_rank,Education_Skills_and_Training_Average_score,Education_Skills_and_Training_Rank_of_average_score,Education_Skills_and_Training_Proportion_of_LSOAs_in_most_deprived_10%_nationally,Education_Skills_and_Training_Rank_of_proportion_of_LSOAs_in_most_deprived_10%_nationally
E06000001,Hartlepool,"19,980.79",77,30.255,51,0.2069,38
E06000002,Middlesbrough,"22,111.75",36,38.850,8,0.3953,3
E06000003,Redcar_and_Cleveland,"18,997.48",102,27.768,73,0.1932,46
E06000004,StocktononTees,"16,899.44",139,24.786,111,0.1667,61
E06000005,Darlington,"18,401.65",114,27.402,76,0.2000,42
E06000006,Halton,"20,397.50",70,29.565,56,0.1772,54
E06000007,Warrington,"14,286.38",205,18.671,167,0.1024,103
E06000008,Blackburn_with_Darwen,"22,371.92",29,34.512,26,0.2637,21
E06000009,Blackpool,"24,559.38",8,38.502,9,0.2553,24
E06000010,Kingston_upon_Hull_City_of,"24,831.65",4,41.672,4,0.4157,2
E06000011,East_Riding_of_Yorkshire,"14,590.27",198,17.434,193,0.0571,154
E06000012,North_East_Lincolnshire,"21,954.17",41,35.861,18,0.2925,13
E06000013,North_Lincolnshire,"20,176.24",76,28.419,64,0.1782,53
E06000014,York,"12,532.77",238,15.698,216,0.0667,139
E06000015,Derby,"20,418.97",69,33.417,30,0.2715,20
E06000016,Leicester,"23,631.94",15,37.277,14,0.2969,12
E06000017,Rutland,"8,232.66",300,7.826,303,0.0000,243
E06000018,Nottingham,"23,807.38",14,37.510,12,0.3132,10
E06000019,Herefordshire_County_of,"16,804.13",142,20.465,142,0.0603,146
E06000020,Telford_and_Wrekin,"19,425.58",88,27.926,69,0.1944,45
E06000021,StokeonTrent,"24,769.81",5,38.935,7,0.3208,7
E06000022,Bath_and_North_East_Somerset,"11,553.29",253,14.043,236,0.0609,143
E06000023,Bristol_City_of,"18,030.07",122,27.137,80,0.1901,48
E06000024,North_Somerset,"14,286.77",204,16.945,200,0.0519,164
E06000025,South_Gloucestershire,"15,758.35",166,18.385,172,0.0364,184
E06000026,Plymouth,"19,189.22",96,25.623,100,0.1242,89
E06000027,Torbay,"20,314.64",73,25.498,102,0.0787,129
E06000030,Swindon,"18,371.34",115,24.621,113,0.1212,91
E06000031,Peterborough,"22,221.22",31,34.571,25,0.2768,19
E06000032,Luton,"21,627.92",45,27.432,75,0.0165,216
E06000033,SouthendonSea,"19,087.92",100,25.052,108,0.0841,123
