Local_Authority_District_code_(2019),Local_Authority_District_name_(2019),Employment_Average_rank,Employment_Rank_of_average_rank,Employment_Average_score,Employment_Rank_of_average_score,Employment_Proportion_of_LSOAs_in_most_deprived_10%_nationally,Employment_Rank_of_proportion_of_LSOAs_in_most_deprived_10%_nationally,Employment_scale,Rank_of_Employment_Scale
E06000001,Hartlepool,24902.51,5,0.185,4,0.4310,5,9715.25,111
E06000002,Middlesbrough,25231.38,4,0.191,3,0.4884,2,15542.50,62
E06000003,Redcar_and_Cleveland,23809.65,17,0.165,8,0.3295,12,12291.00,86
E06000004,StocktononTees,20104.05,67,0.135,45,0.2083,39,15089.25,64
E06000005,Darlington,20134.54,65,0.128,52,0.1846,52,7637.50,132
E06000006,Halton,23010.08,26,0.158,15,0.3671,8,11496.75,94
E06000007,Warrington,16016.94,148,0.097,124,0.1024,86,11520.25,93
E06000008,Blackburn_with_Darwen,23750.74,18,0.162,11,0.3297,11,13778.00,75
E06000009,Blackpool,26469.69,2,0.209,1,0.4362,4,16531.50,59
E06000010,Kingston_upon_Hull_City_of,23632.40,20,0.166,7,0.4277,6,26260.50,14
E06000011,East_Riding_of_Yorkshire,14008.23,184,0.085,165,0.0571,120,15064.25,65
E06000012,North_East_Lincolnshire,21132.26,49,0.145,31,0.2453,34,13005.25,81
E06000013,North_Lincolnshire,19190.90,80,0.109,88,0.0594,118,10362.50,105
E06000014,York,9279.58,273,0.058,265,0.0083,198,7373.75,136
E06000015,Derby,19201.98,78,0.115,73,0.0927,92,17024.00,54
E06000016,Leicester,20136.30,64,0.119,67,0.1510,62,25511.25,16
E06000017,Rutland,7770.15,294,0.049,296,0.0000,209,951.75,315
E06000018,Nottingham,21060.03,51,0.136,44,0.3077,15,28510.00,10
E06000019,Herefordshire_County_of,14542.37,172,0.080,176,0.0172,172,8191.00,127
E06000020,Telford_and_Wrekin,19582.68,71,0.120,65,0.1852,51,11956.25,90
E06000021,StokeonTrent,23748.23,19,0.152,22,0.3082,14,22338.50,24
E06000022,Bath_and_North_East_Somerset,10676.10,247,0.063,244,0.0087,196,6957.50,146
E06000023,Bristol_City_of,16513.24,137,0.102,105,0.1255,78,29585.50,9
E06000024,North_Somerset,14344.49,176,0.090,150,0.0963,90,10093.00,108
E06000025,South_Gloucestershire,10587.39,249,0.062,246,0.0000,209,9765.00,110
E06000026,Plymouth,20866.95,53,0.128,53,0.1925,46,19941.00,41
E06000027,Torbay,23868.29,15,0.150,26,0.1685,58,10383.25,103
E06000030,Swindon,13535.04,193,0.082,173,0.0606,116,10565.25,100
E06000031,Peterborough,19453.78,73,0.112,83,0.1250,79,12593.50,84
E06000032,Luton,18223.81,98,0.100,115,0.0248,154,12751.00,83
E06000033,SouthendonSea,18477.73,94,0.111,85,0.1215,80,11340.75,96
E06000034,Thurrock,16034.71,146,0.088,159,0.0204,161,8686.50,118
E06000035,Medway,18225.00,97,0.105,98,0.0798,100,16914.00,55
E06000036,Bracknell_Forest,8504.39,282,0.053,283,0.0000,209,3773.75,254
