Local_Authority_District_code_(2019),Local_Authority_District_name_(2019),Income_Average_rank,Income_Rank_of_average_rank,Income_Average_score,Income_Rank_of_average_score,Income_Proportion_of_LSOAs_in_most_deprived_10%_nationally,Income_Rank_of_proportion_of_LSOAs_in_most_deprived_10%_nationally,Income_scale,Rank_of_Income_Scale
E06000001,Hartlepool,23509.14,16,0.228,5,0.3793,7,21084,110
E06000002,Middlesbrough,23950.79,9,0.251,1,0.5,1,34959,59
E06000003,Redcar_and_Cleveland,20604.49,50,0.186,28,0.2614,24,25142,96
E06000004,StocktononTees,18291.93,99,0.164,51,0.2167,33,31750,74
E06000005,Darlington,18361.47,94,0.153,69,0.1846,41,16208,133
E06000006,Halton,20664.75,48,0.185,30,0.2911,15,23382,101
E06000007,Warrington,14196.32,179,0.109,154,0.063,116,22389,107
E06000008,Blackburn_with_Darwen,23232.88,18,0.212,10,0.3297,10,31358,75
E06000009,Blackpool,25404.24,1,0.247,3,0.3617,8,34610,61
E06000010,Kingston_upon_Hull_City_of,23888.21,11,0.227,6,0.4217,4,58544,14
E06000011,East_Riding_of_Yorkshire,12770.49,212,0.096,194,0.0476,133,32028,72
E06000012,North_East_Lincolnshire,20546.95,53,0.19,26,0.283,16,30262,79
E06000013,North_Lincolnshire,17832.42,108,0.133,106,0.0792,100,22508,105
E06000014,York,9675.34,270,0.072,259,0,201,14712,147
E06000015,Derby,19161.24,75,0.158,59,0.1788,45,40078,49
E06000016,Leicester,23512.89,15,0.196,18,0.2552,26,67303,10
E06000017,Rutland,7831.38,298,0.056,303,0,201,2089,315
E06000018,Nottingham,22803.53,21,0.199,17,0.3022,12,63228,11
E06000019,Herefordshire_County_of,14528.69,174,0.098,187,0.0172,178,18435,123
E06000020,Telford_and_Wrekin,19377.34,70,0.156,63,0.1759,46,26637,91
E06000021,StokeonTrent,22407.23,25,0.19,25,0.283,16,47776,35
E06000022,Bath_and_North_East_Somerset,10994.95,241,0.079,238,0.0087,196,14389,151
E06000023,Bristol_City_of,17466.94,113,0.141,92,0.1293,67,63150,12
E06000024,North_Somerset,13176.1,203,0.101,180,0.0593,121,20999,111
E06000025,South_Gloucestershire,10539.23,255,0.074,253,0,201,19953,115
E06000026,Plymouth,18863.91,83,0.148,76,0.1242,69,38666,53
E06000027,Torbay,22329.6,27,0.174,39,0.1124,73,23159,102
E06000030,Swindon,14512.85,175,0.109,153,0.0606,118,23717,100
E06000031,Peterborough,20203.16,59,0.156,64,0.1071,77,29922,80
E06000032,Luton,20659.41,49,0.155,66,0.0744,104,33043,69
E06000033,SouthendonSea,18351.8,95,0.144,85,0.1215,71,25786,93
E06000034,Thurrock,17817.43,109,0.13,108,0.051,129,21484,109
E06000035,Medway,17884.81,106,0.134,103,0.0859,93,36692,56
E06000036,Bracknell_Forest,9679.85,269,0.068,271,0,201,7991,258
E06000037,West_Berkshire,9054.6,281,0.064,281,0,201,10063,214
E06000038,Reading,15918.9,141,0.114,140,0.0309,161,18424,124
E06000039,Slough,18901.64,82,0.126,119,0,201,18340,125
E06000040,Windsor_and_Maidenhead,7767.22,299,0.058,294,0,201,8504,248
E06000041,Wokingham,5226.31,315,0.044,315,0,201,7058,271
E06000042,Milton_Keynes,15461.13,152,0.111,148,0.0526,126,29105,84
E06000043,Brighton_and_Hove,16683.4,120,0.123,126,0.0909,89,34773,60
E06000044,Portsmouth,17877.26,107,0.134,104,0.096,87,28145,85
E06000045,Southampton,18059.66,104,0.135,100,0.0878,91,33175,68
E06000046,Isle_of_Wight,19498.99,65,0.138,96,0.0337,157,19078,117
E06000047,County_Durham,20549.36,52,0.165,49,0.1265,68,85255,7
E06000049,Cheshire_East,11031.5,240,0.083,226,0.0085,197,30843,77
E06000050,Cheshire_West_and_Chester,13927.46,189,0.108,159,0.0802,99,36002,57
E06000051,Shropshire,14159.78,182,0.096,193,0.0155,183,29749,81
E06000052,Cornwall,18630.49,88,0.13,107,0.0491,132,71270,8
E06000053,Isles_of_Scilly,1920,317,0.029,317,0,201,68,317
E06000054,Wiltshire,11292.46,237,0.078,241,0.0035,200,37853,54
E06000055,Bedford,15675.57,149,0.114,141,0.0388,144,18866,119
E06000056,Central_Bedfordshire,10828.85,247,0.077,247,0,201,20763,113
E06000057,Northumberland,16123.52,136,0.126,115,0.1066,78,39714,50
E06000058,Bournemouth_Christchurch_and_Poole,15899.16,142,0.112,146,0.0343,154,43490,42
E06000059,Dorset,13014.31,207,0.088,212,0.0137,187,32590,70
E07000004,Aylesbury_Vale,9331.73,276,0.067,272,0,201,12550,176
E07000005,Chiltern,6833.99,312,0.053,313,0,201,4925,297
