Middle layer Super Output Areas Code,Middle layer Super Output Areas,Asian_Asian_British_or_Asian_Welsh,Black_Black_British_Black_Welsh_Caribbean_or_African,Mixed_or_Multiple_ethnic_groups,White_English_Welsh_Scottish_Northern_Irish_or_British,White_Irish,White_Gypsy_or_Irish_Traveller_Roma_or_Other_White,Other_ethnic_group,Total
E02000001,City of London 001,1445,233,469,3649,185,2121,483,8585
E02000002,Barking and Dagenham 001,1842,1737,408,3014,83,946,251,8281
E02000003,Barking and Dagenham 002,4032,1802,484,2956,111,1625,533,11543
E02000004,Barking and Dagenham 003,1054,949,241,3398,66,710,221,6639
E02000005,Barking and Dagenham 004,3333,1958,477,3582,69,1266,397,11082
E02000007,Barking and Dagenham 006,1491,2654,422,4059,49,1076,409,10160
E02000008,Barking and Dagenham 007,2485,2560,542,5378,50,1810,427,13252
E02000009,Barking and Dagenham 008,3105,2941,618,3606,50,2012,531,12863
E02000010,Barking and Dagenham 009,1491,1886,379,3924,57,1451,297,9485
E02000011,Barking and Dagenham 010,1530,1403,234,2554,54,1022,233,7030
E02000012,Barking and Dagenham 011,6763,1031,360,2043,33,901,380,11511
E02000013,Barking and Dagenham 012,1577,1933,409,3729,50,1513,187,9398
E02000014,Barking and Dagenham 013,1519,1868,311,4298,72,1577,220,9865
E02000015,Barking and Dagenham 014,1128,2527,400,2990,43,925,214,8227
E02000016,Barking and Dagenham 015,3863,2816,533,1261,34,1604,455,10566
E02000017,Barking and Dagenham 016,4422,1083,327,1297,35,1568,401,9133
E02000018,Barking and Dagenham 017,1928,1962,391,3472,32,1475,292,9552
E02000019,Barking and Dagenham 018,1720,2201,443,3727,35,1277,260,9663
E02000020,Barking and Dagenham 019,4366,3446,624,2865,65,2082,607,14055
E02000021,Barking and Dagenham 020,1613,2479,383,2604,76,1303,304,8762
E02000022,Barking and Dagenham 021,2010,2614,412,1126,30,1181,364,7737
E02000023,Barking and Dagenham 022,1717,2980,458,1754,21,828,262,8020
E02000024,Barnet 001,1252,527,584,6262,351,1368,497,10841
E02000025,Barnet 002,961,633,511,4513,248,1268,448,8582
E02000026,Barnet 003,810,268,331,3298,110,1098,546,6461
E02000027,Barnet 004,1518,995,649,4474,274,1146,590,9646
E02000028,Barnet 005,1102,449,353,2942,221,1010,457,6534
E02000029,Barnet 006,1142,622,729,4620,224,1508,833,9678
E02000030,Barnet 007,1799,496,433,4748,281,1127,575,9459
E02000031,Barnet 008,1640,331,497,3525,263,1378,697,8331
E02000032,Barnet 009,1660,285,434,2859,182,1633,886,7939
E02000033,Barnet 010,1370,580,616,3718,260,1555,792,8891
E02000034,Barnet 011,1543,510,520,3692,294,1853,674,9086
E02000035,Barnet 012,1899,380,398,3037,189,1851,778,8532
E02000036,Barnet 013,2419,1166,512,4077,139,1969,959,11241
E02000037,Barnet 014,2494,775,385,4419,74,1542,1146,10835
E02000038,Barnet 015,1979,782,682,3991,283,2161,841,10719
E02000039,Barnet 016,1136,545,332,3291,151,1125,587,7167
E02000040,Barnet 017,1805,860,554,3548,126,1338,907,9138
E02000041,Barnet 018,2276,808,348,3036,124,1887,976,9455
E02000042,Barnet 019,3017,589,662,3380,285,2376,1250,11559
E02000043,Barnet 020,2108,255,432,2617,108,1367,683,7570
E02000044,Barnet 021,1969,1303,488,2634,166,1491,794,8845
E02000045,Barnet 022,1550,1059,801,3892,262,2132,828,10524
E02000046,Barnet 023,1498,243,373,2297,140,1820,590,6961
E02000047,Barnet 024,3312,2008,745,2614,266,2393,1059,12397
E02000048,Barnet 025,1915,727,475,3790,133,1929,1313,10282
E02000049,Barnet 026,2360,2490,707,2103,115,1609,1148,10532
E02000050,Barnet 027,1937,871,648,3769,299,1966,885,10375
E02000051,Barnet 028,1593,510,415,3468,127,1973,1075,9161
E02000052,Barnet 029,1274,589,643,4264,268,2159,652,9849
E02000054,Barnet 031,1627,616,323,1976,79,1959,1051,7631
E02000055,Barnet 032,1852,896,499,3455,134,3507,1380,11723
E02000056,Barnet 033,1022,232,428,4291,106,1987,1064,9130
E02000057,Barnet 034,1017,341,237,3461,77,1910,970,8013
E02000058,Barnet 035,1296,383,414,4463,129,2444,1098,10227
E02000059,Barnet 036,3440,1138,586,2184,271,2941,1066,11626
E02000060,Barnet 037,1266,340,289,5273,66,2708,1616,11558
E02000061,Barnet 038,1565,291,386,2862,63,2234,945,8346
E02000062,Barnet 039,1446,965,500,1415,182,1355,1095,6958
E02000063,Barnet 040,1562,696,482,1649,211,1600,1383,7583
E02000064,Barnet 041,1078,862,409,2029,148,1427,721,6674
E02000065,Bexley 001,630,4017,397,2069,26,645,278,8062
E02000066,Bexley 002,983,3556,395,3390,56,806,243,9429
E02000067,Bexley 003,1107,2296,514,4596,72,1319,326,10230
E02000068,Bexley 004,961,2224,410,3560,58,714,249,8176
E02000069,Bexley 005,906,1382,318,3807,50,565,184,7212
E02000070,Bexley 006,908,774,312,5225,100,541,250,8110
E02000071,Bexley 007,694,793,259,5258,65,373,232,7674
E02000072,Bexley 008,985,4065,535,5909,60,1040,328,12922
E02000073,Bexley 009,1684,691,278,7225,119,428,301,10726
E02000074,Bexley 010,586,1587,315,5597,67,514,195,8861
E02000075,Bexley 011,870,370,216,5931,101,300,195,7983
E02000077,Bexley 013,1354,535,237,5068,79,533,334,8140
E02000078,Bexley 014,536,603,256,5924,73,409,132,7933
E02000079,Bexley 015,1120,463,292,5817,123,747,208,8770
E02000080,Bexley 016,1660,742,371,6099,123,731,339,10065
E02000081,Bexley 017,804,552,261,5896,82,541,169,8305
E02000082,Bexley 018,996,575,291,6536,118,528,291,9335
E02000083,Bexley 019,801,1146,377,7773,114,784,275,11270
E02000084,Bexley 020,1343,514,377,7962,136,508,273,11113
E02000085,Bexley 021,611,345,201,6196,92,376,140,7961
E02000086,Bexley 022,402,177,210,5867,105,286,129,7176
E02000087,Bexley 023,714,292,260,6335,130,379,100,8210
E02000088,Bexley 024,546,218,192,6349,83,273,88,7749
E02000089,Bexley 025,460,192,243,6402,93,342,137,7869
E02000090,Bexley 026,608,317,372,7474,139,591,138,9639
E02000091,Bexley 027,741,475,395,7727,135,538,153,10164
E02000092,Bexley 028,338,650,255,4867,58,416,170,6754
E02000093,Brent 001,5478,991,396,1402,235,2500,875,11877
E02000094,Brent 002,3902,1326,396,1529,469,1932,906,10460
E02000095,Brent 003,4985,799,262,1166,201,2144,907,10464
E02000096,Brent 004,4258,254,195,1013,190,1188,533,7631
E02000097,Brent 005,3345,1026,336,1496,504,1879,947,9533
E02000098,Brent 006,3089,1183,352,1221,158,1484,1260,8747
E02000099,Brent 007,3597,1053,328,1095,162,2255,1070,9560
E02000100,Brent 008,4472,623,277,1006,234,924,783,8319
E02000101,Brent 009,2981,2169,444,1130,277,1600,1336,9937
E02000102,Brent 010,2450,1869,358,830,297,1365,1158,8327
E02000103,Brent 011,1939,2128,627,1435,561,1631,1652,9973
E02000104,Brent 012,3202,912,277,846,202,1254,812,7505
E02000105,Brent 013,4905,1305,366,785,164,1559,760,9844
E02000106,Brent 014,2509,1964,577,1317,294,2228,1462,10351
E02000107,Brent 015,2375,1379,676,2344,471,2400,1293,10938
E02000108,Brent 016,3401,1046,272,729,194,992,625,7259
E02000110,Brent 018,1682,1052,629,1953,391,1656,812,8175
E02000111,Brent 019,7359,1147,292,656,99,982,749,11284
E02000112,Brent 020,6683,1631,403,686,136,1520,690,11749
E02000113,Brent 021,1765,4318,533,1010,178,770,1056,9630
E02000114,Brent 022,1740,1320,716,1829,319,2181,891,8996
E02000115,Brent 023,998,1241,646,2455,298,1904,1080,8622
E02000116,Brent 024,1761,1815,665,1173,305,1545,1285,8549
E02000117,Brent 025,1940,5182,812,1582,338,1596,1282,12732
E02000118,Brent 026,7222,1309,257,575,114,1116,700,11293
E02000119,Brent 027,1740,4494,631,1017,171,1127,1445,10625
E02000120,Brent 028,1095,1290,664,2727,362,2025,854,9017
E02000121,Brent 029,7860,1309,319,582,85,1125,960,12240
E02000122,Brent 030,1255,806,635,2854,271,1547,809,8177
E02000123,Brent 031,1874,4159,1056,2391,436,2358,1304,13578
E02000124,Brent 032,974,1151,803,3858,336,2181,651,9954
E02000125,Brent 033,1245,1660,747,3445,321,1839,683,9940
E02000126,Brent 034,1130,2941,573,1287,218,1100,946,8195
E02000127,Bromley 001,694,1175,531,5512,79,1066,272,9329
E02000128,Bromley 002,558,388,382,5603,97,616,146,7790
E02000130,Bromley 004,534,1180,706,4610,223,896,277,8426
E02000131,Bromley 005,561,1951,1002,4788,184,1659,341,10486
E02000132,Bromley 006,866,936,766,5407,205,1348,306,9834
E02000133,Bromley 007,1041,401,535,7616,202,731,227,10753
E02000134,Bromley 008,959,990,819,6834,178,1640,331,11751
E02000135,Bromley 009,650,2663,887,4027,140,1146,359,9872
E02000136,Bromley 010,503,355,219,4091,53,387,136,5744
E02000137,Bromley 011,712,530,565,5311,174,951,157,8400
E02000138,Bromley 012,579,414,446,5552,222,1051,238,8502
E02000139,Bromley 013,445,618,570,4952,177,764,188,7714
E02000140,Bromley 014,606,1016,406,5718,34,701,199,8680
E02000141,Bromley 015,421,1197,603,3912,174,735,193,7235
E02000142,Bromley 016,876,478,484,5817,147,820,194,8816
E02000144,Bromley 018,1426,605,634,5410,174,1444,371,10064
E02000145,Bromley 019,563,1435,417,5224,56,948,181,8824
E02000146,Bromley 020,889,561,597,6467,127,857,204,9702
E02000147,Bromley 021,849,317,386,5739,128,558,216,8193
E02000148,Bromley 022,611,260,247,4977,82,430,115,6722
E02000149,Bromley 023,582,544,376,5794,65,646,159,8166
E02000150,Bromley 024,533,627,498,5808,220,609,219,8514
E02000151,Bromley 025,853,146,265,5633,156,410,80,7543
E02000152,Bromley 026,664,717,526,5069,122,631,235,7964
E02000153,Bromley 027,539,247,324,6345,98,411,143,8107
E02000154,Bromley 028,1336,352,373,5564,79,648,176,8528
E02000155,Bromley 029,661,462,228,5169,77,424,138,7159
E02000156,Bromley 030,747,494,573,9210,259,761,248,12292
E02000157,Bromley 031,899,216,277,6333,59,446,139,8369
E02000158,Bromley 032,748,755,330,5290,68,452,141,7784
E02000159,Bromley 033,530,206,226,5633,82,287,154,7118
E02000160,Bromley 034,338,223,335,6499,152,419,142,8108
E02000161,Bromley 035,1494,252,283,6037,90,409,138,8703
E02000162,Bromley 036,633,291,234,5510,80,296,77,7121
E02000163,Bromley 037,854,164,215,5985,66,330,102,7716
E02000165,Bromley 039,130,193,209,6337,59,216,28,7172
E02000166,Camden 001,528,553,563,4233,247,1181,439,7744
E02000167,Camden 002,641,162,434,3365,175,2054,367,7198
E02000168,Camden 003,657,517,527,4146,255,1351,360,7813
E02000169,Camden 004,1032,235,456,2671,105,2156,522,7177
E02000170,Camden 005,1088,410,534,3041,221,2039,584,7917
E02000171,Camden 006,881,452,490,3353,202,1644,369,7391
E02000172,Camden 007,1688,1364,687,3810,299,1518,631,9997
E02000173,Camden 008,1396,239,444,2494,165,2299,456,7493
E02000174,Camden 009,1017,918,562,3429,299,1448,413,8086
E02000175,Camden 010,1376,680,592,3230,269,2238,697,9082
E02000176,Camden 011,692,139,396,2150,151,2011,376,5915
E02000177,Camden 012,1494,1070,561,3109,258,1468,528,8488
E02000178,Camden 013,1370,1049,659,2713,383,1860,869,8903
E02000179,Camden 014,848,590,319,1958,95,1467,471,5748
E02000180,Camden 015,1272,910,567,3027,200,1495,407,7878
E02000181,Camden 016,1114,387,522,2829,239,2449,536,8076
E02000182,Camden 017,1777,536,415,1894,94,1748,650,7114
E02000183,Camden 018,912,521,498,3252,245,1739,425,7592
E02000184,Camden 019,1972,1079,626,2692,201,1793,545,8908
E02000185,Camden 020,1508,1426,565,2264,250,1734,1136,8883
E02000186,Camden 021,1015,606,454,2284,115,1378,371,6223
E02000187,Camden 022,3183,1558,625,2397,171,1174,676,9784
E02000188,Camden 023,2301,1040,413,1700,124,1051,550,7179
E02000191,Camden 026,1512,267,401,1479,104,1286,286,5335
E02000192,Camden 027,1804,721,394,1971,141,1207,421,6659
E02000193,Camden 028,1397,349,390,1982,104,1356,383,5961
E02000194,Croydon 001,622,1854,860,4251,195,1105,326,9213
E02000195,Croydon 002,2323,1940,677,2885,189,1179,457,9650
E02000196,Croydon 003,2116,1946,574,1663,87,1115,414,7915
E02000197,Croydon 004,2388,2256,693,1744,115,1329,500,9025
E02000198,Croydon 005,1024,3348,769,2048,117,1129,453,8888
E02000199,Croydon 006,905,3333,745,2018,112,920,381,8414
E02000200,Croydon 007,781,2778,764,3031,126,1196,373,9049
E02000201,Croydon 008,761,3291,892,2392,96,934,326,8692
E02000202,Croydon 009,2767,2933,638,1157,67,961,406,8929
E02000203,Croydon 010,1469,3164,599,1288,48,986,410,7964
E02000204,Croydon 011,3746,2908,616,964,61,867,494,9656
E02000206,Croydon 013,1419,4021,1042,2553,102,1199,484,10820
E02000207,Croydon 014,940,2978,879,2928,127,731,318,8901
E02000208,Croydon 015,3048,3811,825,1572,54,979,574,10863
E02000209,Croydon 016,3604,2311,548,1157,35,781,631,9067
E02000210,Croydon 017,1050,2174,878,3155,121,1016,319,8713
E02000211,Croydon 018,1173,1105,534,4569,125,519,248,8273
E02000212,Croydon 019,3218,2601,640,1514,137,869,482,9461
E02000213,Croydon 020,2683,4198,1092,2289,104,1723,709,12798
E02000214,Croydon 021,981,968,550,2902,169,487,176,6233
E02000215,Croydon 022,2064,2448,1028,3758,147,1875,505,11825
E02000216,Croydon 023,2708,881,360,1990,61,765,400,7165
E02000217,Croydon 024,1941,2955,1147,3294,146,1895,547,11925
E02000218,Croydon 025,813,1779,499,2886,78,374,244,6673
E02000219,Croydon 026,1298,817,368,4333,122,458,230,7626
E02000221,Croydon 028,2132,2709,894,3594,87,965,477,10858
E02000222,Croydon 029,1255,1202,624,3937,113,992,228,8351
E02000223,Croydon 030,557,3047,603,3645,45,365,268,8530
E02000224,Croydon 031,1175,1319,702,3527,171,906,253,8053
E02000225,Croydon 032,466,1663,466,4298,61,400,144,7498
E02000226,Croydon 033,1372,686,422,4446,101,422,167,7616
E02000227,Croydon 034,1111,1614,744,7171,124,653,263,11680
E02000228,Croydon 035,1273,429,485,5116,139,372,142,7956
E02000229,Croydon 036,344,1465,366,3607,34,312,108,6236
E02000230,Croydon 037,2044,1285,760,5075,179,871,288,10502
E02000231,Croydon 038,2136,674,446,3715,114,515,330,7930
E02000232,Croydon 039,759,416,376,4208,74,238,127,6198
E02000233,Croydon 040,834,711,461,3601,108,463,186,6364
