Region_Country_code,Region_Country_name,Local_authority_code_,Local_authority_name,Year_ending_Mar_2020,Year_ending_Jun_2020,Year_ending_Sep_2020,Year_ending_Dec_2020,Year_ending_Mar_2021,Year_ending_Jun_2021,Year_ending_Sep_2021,Year_ending_Dec_2021
E12000001,North_East,E06000001,Hartlepool,"128,500","130,000","130,000","131,375","133,500","137,000","135,000","132,000"
E12000001,North_East,E06000002,Middlesbrough,"137,000","135,000","135,000","133,250","135,995","136,500","139,973","136,000"
E12000001,North_East,E06000003,Redcar_and_Cleveland,"132,995","133,000","134,000","135,000","140,000","141,000","144,000","142,500"
E12000001,North_East,E06000004,StocktononTees,"150,000","150,000","151,000","154,950","155,500","158,000","158,000","152,500"
E12000001,North_East,E06000005,Darlington,"144,950","145,000","149,995","152,000","155,000","157,000","155,000","150,000"
E12000001,North_East,E06000047,County_Durham,"122,000","120,000","120,000","124,000","125,000","130,000","130,000","125,000"
E12000001,North_East,E06000057,Northumberland,"167,500","168,000","168,000","180,000","185,000","190,000","187,500","180,000"
E12000001,North_East,E08000021,Newcastle_upon_Tyne,"162,500","164,500","165,000","174,000","184,995","188,000","185,000","180,000"
E12000001,North_East,E08000022,North_Tyneside,"173,500","173,000","172,000","178,000","184,950","185,000","183,500","179,000"
E12000001,North_East,E08000023,South_Tyneside,"136,500","135,000","135,000","140,000","146,000","149,950","150,000","144,748"
E12000001,North_East,E08000024,Sunderland,"128,000","126,000","127,500","129,975","135,750","139,775","140,000","136,950"
E12000001,North_East,E08000037,Gateshead,"140,000","139,000","141,000","145,375","150,000","150,000","149,950","145,000"
E12000002,North_West,E06000006,Halton,"150,000","150,000","151,000","155,000","160,000","163,250","162,000","158,000"
E12000002,North_West,E06000007,Warrington,"195,000","195,000","200,000","210,000","220,000","230,000","230,000","230,000"
E12000002,North_West,E06000008,Blackburn_with_Darwen,"125,000","122,000","124,000","128,000","132,000","135,000","138,000","130,000"
E12000002,North_West,E06000009,Blackpool,"117,826","118,000","118,000","119,000","120,000","122,000","125,000","125,250"
E12000002,North_West,E06000049,Cheshire_East,"240,000","238,000","240,000","249,950","262,000","273,000","267,000","260,000"
E12000002,North_West,E06000050,Cheshire_West_and_Chester,"208,000","207,995","210,000","220,000","229,000","235,000","235,000","232,000"
E12000002,North_West,E07000026,Allerdale,"163,500","165,000","163,500","171,000","178,000","177,500","173,000","162,000"
E12000002,North_West,E07000027,BarrowinFurness,"127,000","126,000","126,000","130,000","136,500","140,000","140,000","140,000"
E12000002,North_West,E07000028,Carlisle,"145,000","144,998","145,000","152,500","157,000","159,998","158,498","150,100"
E12000002,North_West,E07000029,Copeland,"130,000","130,000","130,000","130,000","135,000","137,000","138,000","135,000"
E12000002,North_West,E07000030,Eden,"207,750","204,995","200,000","218,775","226,998","231,950","230,000","225,000"
E12000002,North_West,E07000031,South_Lakeland,"249,995","245,000","248,000","252,500","265,000","275,000","265,000","260,000"
E12000002,North_West,E07000117,Burnley,"97,973","97,000","100,000","103,500","105,000","113,500","117,500","117,500"
E12000002,North_West,E07000118,Chorley,"175,000","174,500","178,000","181,995","185,000","195,000","195,000","189,000"
E12000002,North_West,E07000119,Fylde,"200,000","205,000","209,950","215,000","221,995","227,750","221,995","218,000"
E12000002,North_West,E07000120,Hyndburn,"110,000","112,000","110,000","109,500","110,000","111,750","115,000","119,950"
E12000002,North_West,E07000121,Lancaster,"159,975","159,950","161,000","168,500","175,000","178,000","180,000","179,950"
E12000002,North_West,E07000122,Pendle,"112,950","113,000","116,000","120,000","125,000","129,973","132,500","130,000"
E12000002,North_West,E07000123,Preston,"150,000","148,740","152,125","153,000","161,500","165,000","165,000","160,250"
E12000002,North_West,E07000124,Ribble_Valley,"239,995","238,000","236,800","243,995","240,000","250,000","250,000","249,995"
E12000002,North_West,E07000125,Rossendale,"139,000","140,000","145,000","150,000","160,000","165,000","170,000","165,585"
E12000002,North_West,E07000126,South_Ribble,"167,500","168,000","170,000","176,000","180,000","181,498","185,000","182,500"
E12000002,North_West,E07000127,West_Lancashire,"188,995","190,000","187,500","195,000","210,000","210,000","212,748","203,925"
E12000002,North_West,E07000128,Wyre,"162,000","163,000","165,250","171,000","175,000","180,000","180,000","175,000"
E12000002,North_West,E08000001,Bolton,"140,000","140,000","145,000","148,796","152,500","157,000","161,000","162,500"
E12000002,North_West,E08000002,Bury,"175,000","178,000","180,000","188,000","197,500","209,998","212,000","212,500"
E12000002,North_West,E08000003,Manchester,"187,125","190,000","195,000","208,000","215,000","220,000","220,000","220,000"
E12000002,North_West,E08000004,Oldham,"137,000","139,500","140,000","150,000","163,000","166,975","170,250","170,000"
E12000002,North_West,E08000005,Rochdale,"141,748","142,500","145,500","150,000","157,000","165,000","168,000","168,000"
E12000002,North_West,E08000006,Salford,"174,137","180,000","185,000","192,000","199,500","200,000","205,000","205,000"
E12000002,North_West,E08000007,Stockport,"227,000","227,000","233,750","248,000","260,000","275,000","272,000","270,000"
E12000002,North_West,E08000008,Tameside,"153,000","152,500","155,000","160,000","165,000","170,000","175,000","175,000"
E12000002,North_West,E08000009,Trafford,"280,000","282,000","282,500","295,267","312,840","320,000","320,000","320,000"
E12000002,North_West,E08000010,Wigan,"149,000","145,000","149,998","151,998","155,000","159,000","160,000","160,000"
E12000002,North_West,E08000011,Knowsley,"155,995","155,995","158,000","159,995","160,000","160,000","162,500","161,750"
E12000002,North_West,E08000012,Liverpool,"130,000","130,000","131,000","139,995","149,998","155,000","157,000","155,000"
E12000002,North_West,E08000013,St._Helens,"139,950","140,000","143,000","146,000","150,000","155,000","155,000","155,000"
E12000002,North_West,E08000014,Sefton,"175,000","175,000","176,000","185,000","192,000","197,998","200,000","195,250"
E12000002,North_West,E08000015,Wirral,"165,000","165,000","165,050","170,000","181,000","193,000","195,000","195,000"
E12000003,Yorkshire_and_The_Humber,E06000010,Kingston_upon_Hull_City_of,"120,000","120,000","120,000","120,000","123,000","126,000","126,500","126,000"
E12000003,Yorkshire_and_The_Humber,E06000011,East_Riding_of_Yorkshire,"185,000","185,000","190,000","197,625","207,000","211,000","210,000","205,875"
E12000003,Yorkshire_and_The_Humber,E06000012,North_East_Lincolnshire,"135,000","135,000","137,000","144,000","147,500","148,000","150,000","145,000"
E12000003,Yorkshire_and_The_Humber,E06000013,North_Lincolnshire,"143,000","145,000","145,000","151,000","156,725","161,625","163,250","161,000"
E12000003,Yorkshire_and_The_Humber,E06000014,York,"246,750","248,000","250,000","257,000","270,000","275,000","275,000","275,000"
E12000003,Yorkshire_and_The_Humber,E07000163,Craven,"226,250","229,950","230,000","239,973","240,000","245,000","241,001","233,000"
E12000003,Yorkshire_and_The_Humber,E07000164,Hambleton,"239,950","240,000","240,000","250,000","265,000","272,000","267,500","265,000"
E12000003,Yorkshire_and_The_Humber,E07000165,Harrogate,"297,500","295,000","299,995","300,000","315,000","325,000","320,000","315,000"
E12000003,Yorkshire_and_The_Humber,E07000166,Richmondshire,"210,000","200,000","200,000","225,000","230,000","245,200","248,778","240,000"
E12000003,Yorkshire_and_The_Humber,E07000167,Ryedale,"224,950","228,725","234,950","248,500","255,000","255,000","250,000","247,000"
E12000003,Yorkshire_and_The_Humber,E07000168,Scarborough,"164,125","164,000","169,000","175,000","180,000","185,000","185,000","182,500"
E12000003,Yorkshire_and_The_Humber,E07000169,Selby,"212,000","207,500","210,000","220,000","225,000","227,728","225,000","222,875"
E12000003,Yorkshire_and_The_Humber,E08000016,Barnsley,"135,000","135,000","135,000","138,000","142,500","145,000","146,995","145,000"
E12000003,Yorkshire_and_The_Humber,E08000017,Doncaster,"135,000","135,000","138,000","140,000","146,000","150,000","151,100","152,000"
E12000003,Yorkshire_and_The_Humber,E08000018,Rotherham,"145,000","144,475","145,000","152,000","157,725","162,500","165,000","165,000"
E12000003,Yorkshire_and_The_Humber,E08000019,Sheffield,"163,750","165,000","168,500","169,000","177,250","181,000","183,000","185,000"
E12000003,Yorkshire_and_The_Humber,E08000032,Bradford,"140,000","138,500","140,000","147,000","152,000","155,000","155,000","152,000"
E12000003,Yorkshire_and_The_Humber,E08000033,Calderdale,"148,000","148,000","149,950","152,000","157,500","162,000","165,000","162,000"
E12000003,Yorkshire_and_The_Humber,E08000034,Kirklees,"159,975","158,500","160,000","165,000","170,000","177,725","178,500","175,000"
E12000003,Yorkshire_and_The_Humber,E08000035,Leeds,"187,000","189,950","194,500","200,000","211,500","220,000","220,000","218,000"
E12000003,Yorkshire_and_The_Humber,E08000036,Wakefield,"160,000","158,000","159,973","160,000","165,500","172,500","175,000","175,000"
E12000004,East_Midlands,E06000015,Derby,"170,373","170,000","170,000","172,500","180,000","185,000","185,000","185,000"
E12000004,East_Midlands,E06000016,Leicester,"180,000","180,000","183,000","190,000","200,000","207,500","210,000","215,000"
E12000004,East_Midlands,E06000017,Rutland,"276,000","287,000","310,000","315,000","325,000","340,000","321,000","305,000"
E12000004,East_Midlands,E06000018,Nottingham,"140,000","143,000","148,000","153,250","160,000","162,000","165,000","166,000"
E12000004,East_Midlands,E07000032,Amber_Valley,"177,000","176,750","177,000","182,475","197,550","205,000","208,000","205,000"
E12000004,East_Midlands,E07000033,Bolsover,"135,995","135,000","139,995","145,000","150,000","152,500","155,000","155,000"
E12000004,East_Midlands,E07000034,Chesterfield,"157,000","157,750","164,000","172,000","179,950","180,650","180,000","180,000"
