Code,Name,House_or_Bungalow_Detached,House_or_Bungalow_Semi-detached,House_or_Bungalow_Terraced_(including_end-terrace),Flat_Maisonette_or_Apartment_Purpose-built_block_of_flats_or_tenement,Flat_Maisonette_or_Apartment_Part_of_a_converted_or_shared_house_(including_bed-sits),Flat_Maisonette_or_Apartment_In_a_commercial_building,Caravan_or_other_mobile_or_temporary_structure,Annexe,Unknown,Total,,
E06000001,Hartlepool,7110,12340,18700,4480,730,440,150,10,80,44040,,
E06000002,Middlesbrough,8270,22790,23680,7080,1220,570,20,10,850,64490,,
E06000003,Redcar_and_Cleveland,11540,26120,20160,4140,1700,720,140,20,180,64720,,
E06000004,Stockton-on-Tees,20830,32310,24360,7660,1480,800,120,30,280,87890,,
E06000005,Darlington,8730,18020,16890,5550,1190,360,130,20,410,51300,,
E06000006,Halton,11000,16660,22990,5470,740,520,150,[c],170,57690,,
E06000007,Warrington,21120,34250,25190,9250,1590,660,90,30,1130,93300,,
E06000008,Blackburn_with_Darwen,7860,15670,29610,5840,850,530,70,20,1130,61580,,
E06000009,Blackpool,5600,23610,23700,7010,8250,2050,170,30,2130,72560,,
E06000010,Kingston_upon_Hull_City_of,6590,26190,68090,12860,5370,2220,70,10,740,122120,,
E06000011,East_Riding_of_Yorkshire,52320,52790,34210,9170,4030,1910,360,210,1780,156770,,
E06000012,North_East_Lincolnshire,15100,22840,26070,5560,2100,980,50,40,610,73340,,
E06000013,North_Lincolnshire,24490,29450,12770,5160,1000,730,710,130,1180,75620,,
E06000014,York,18800,28400,24900,12720,3640,1170,360,90,990,91070,,
E06000015,Derby,23940,38220,30190,12840,3310,1060,310,20,2570,112460,,
E06000016,Leicester,11230,37750,51050,22360,11700,3110,20,40,3470,140740,,
E06000017,Rutland,7550,4230,3760,980,170,150,170,40,390,17440,,
E06000018,Nottingham,17260,32450,49680,27280,9460,2150,40,40,1720,140080,,
E06000019,Herefordshire_County_of,34690,20640,17830,6480,2350,1480,950,710,870,86010,,
E06000020,Telford_and_Wrekin,22370,25050,20560,6630,670,640,410,70,1070,77460,,
E06000021,Stoke-on-Trent,15150,46660,40630,10860,1750,1000,60,10,1270,117390,,
E06000022,Bath_and_North_East_Somerset,17160,20170,24640,9750,7680,1470,180,220,1310,82560,,
E06000023,Bristol_City_of,9720,43980,72460,40550,27270,6620,70,130,3840,204630,,
E06000024,North_Somerset,30580,25970,17240,10880,7990,1340,1250,300,1720,97270,,
E06000025,South_Gloucestershire,29900,35650,35470,13000,1470,940,780,360,2220,119800,,
E06000026,Plymouth,11910,31120,43580,19110,11800,2200,310,100,1540,121670,,
E06000027,Torbay,13840,13080,17380,9180,9110,2400,270,150,1360,66760,,
E06000030,Swindon,19760,24980,34060,13960,2460,1650,250,50,900,98060,,
E06000031,Peterborough,21710,23140,24740,11640,2130,810,640,60,1150,86020,,
E06000032,Luton,8460,26950,24530,13210,5300,1940,120,40,1050,81590,,
E06000033,Southend-on-Sea,12170,22000,16640,14740,12780,2670,90,40,2210,83330,,
E06000034,Thurrock,7580,18970,24970,15090,650,600,210,70,290,68400,,
E06000035,Medway,14790,29540,50090,14460,3400,1950,880,90,790,115970,,
E06000036,Bracknell_Forest,13300,7990,17200,8990,660,460,960,20,440,50010,,
E06000037,West_Berkshire,21750,19620,14000,8680,1600,770,820,440,930,68600,,
E06000038,Reading,7410,14740,23440,17270,5400,1330,160,20,1280,71040,,
E06000039,Slough,4320,11470,19260,14590,2570,1410,70,210,780,54680,,
E06000040,Windsor_and_Maidenhead,18610,14320,13210,12660,2460,1210,740,360,1340,64920,,
E06000041,Wokingham,29310,17780,11510,7570,800,480,800,220,1060,69530,,
E06000042,Milton_Keynes,30510,26210,35360,18740,780,1380,20,140,730,113870,,
E06000043,Brighton_and_Hove,12220,21410,27640,28510,32210,4700,70,90,4540,131390,,
E06000044,Portsmouth,3010,10350,43330,22220,9330,3510,120,20,790,92690,,
E06000045,Southampton,12700,23520,24800,36040,8440,2650,50,50,1210,109470,,
E06000046,Isle_of_Wight,22870,17760,12900,8060,5300,1820,440,260,1180,70580,,
E06000047,County_Durham,45720,82840,100400,12450,2210,1720,420,70,1600,247420,,
E06000049,Cheshire_East,61590,51820,42360,14500,3440,1900,660,280,1280,177830,,
E06000050,Cheshire_West_and_Chester,45730,51390,39060,16510,2340,1660,1090,110,1530,159420,,
E06000051,Shropshire,54450,43320,28160,8160,3130,1960,1450,360,3160,144150,,
E06000052,Cornwall,95470,57650,71180,21330,11530,4590,4290,1430,5480,272940,,
E06000053,Isles_of_Scilly,340,210,230,60,150,70,[c],10,80,1130,,
