Region_code,Region_name_,Code,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E12000001,North_East,E06000001,Hartlepool,4.73,4.48,4.14,4.26,4.65,4.69,4.6,4.8,4.82,5,4.63,4.58
E12000001,North_East,E06000002,Middlesbrough,5.03,4.67,4.26,4.48,5.01,5.01,5.09,4.88,5.28,5.15,4.96,5.12
E12000001,North_East,E06000003,Redcar_and_Cleveland,4.97,4.41,4.86,4.62,4.65,4.67,5.31,5.11,5.12,5.03,5.09,5.61
E12000001,North_East,E06000004,Stockton_on_Tees,5.53,5.25,5.34,5.28,5.3,5.33,5.02,5.64,5.5,5.04,4.91,5.35
E12000001,North_East,E06000005,Darlington,5.62,5.14,5.05,5.64,4.9,4.93,4.93,5.37,5.34,5.02,5.24,5.29
E12000001,North_East,E06000047,County_Durham,5.12,4.64,4.54,4.47,4.64,4.57,4.59,4.55,4.53,4.57,4.51,4.74
E12000001,North_East,E06000057,Northumberland,6.3,6.36,5.87,6.04,6.54,6.5,6.26,6.42,6.59,6.56,6.18,6.77
E12000001,North_East,E08000021,Newcastle_upon_Tyne,5.62,5.36,5.22,5.43,5.44,5.55,5.78,5.47,5.75,5.71,5.55,5.9
E12000001,North_East,E08000022,North_Tyneside,5.69,5.43,5.44,5.48,5.75,6.06,6.12,6.3,6.12,6.03,6.19,6.53
E12000001,North_East,E08000023,South_Tyneside,5.96,4.56,4.71,4.8,4.89,5.29,5.89,5.73,5.8,5.52,5.04,5.85
E12000001,North_East,E08000024,Sunderland,4.72,4.62,4.63,4.54,4.59,4.75,4.62,4.78,4.87,4.79,4.46,4.96
E12000001,North_East,E08000037,Gateshead,5.22,4.76,4.5,4.89,4.88,5.07,5.19,5.25,5.32,5.35,5.47,5.69
E12000002,North_West,E06000006,Halton,4.68,4.7,4.57,4.75,4.66,4.55,4.92,4.76,4.79,4.92,4.87,5.47
E12000002,North_West,E06000007,Warrington,5.66,5.53,5.38,5.77,5.71,5.99,6.14,6.35,6.31,6.75,6.45,7.08
E12000002,North_West,E06000008,Blackburn_with_Darwen,4.25,4.03,4.09,3.94,4.07,4.39,4.16,4.25,4.96,4.77,4.85,4.85
E12000002,North_West,E06000009,Blackpool,5.63,5.04,4.62,4.73,4.84,4.66,5.05,4.65,4.53,4.45,4.75,4.34
E12000002,North_West,E06000049,Cheshire_East,7.4,6.8,6.83,6.82,7.14,7.4,7.44,7.65,8.05,8.04,7.94,8.79
E12000002,North_West,E06000050,Cheshire_West_and_Chester,6.49,6.5,6.24,6.84,6.92,7.14,7.11,7.19,6.99,6.9,7.34,7.18
E12000002,North_West,E07000026,Allerdale,6.29,6.61,6.49,6.24,6.23,6.57,6.03,6.47,6.65,6.69,6.09,6.6
E12000002,North_West,E07000027,Barrow_in_Furness,3.87,3.67,3.22,3.2,3.32,3.89,3.82,3.72,3.54,3.59,3.44,3.74
