Area_Code,Area_Name,Mid_2019_Population_Estimate,InternationalInflow,InternationalOutflow,InternalInflow,InternalOutflow
S12000033,Aberdeen_City,"228,670","3,590","1,570","8,310","9,530"
S12000034,Aberdeenshire,"261,210",760,560,"6,490","7,080"
E07000223,Adur,"64,301",223,114,"3,887","3,527"
E07000026,Allerdale,"97,761",188,89,"3,428","3,020"
E07000032,Amber_Valley,"128,147",160,122,"6,928","5,388"
S12000041,Angus,"116,200",310,250,"3,700","3,280"
N09000001,Antrim_and_Newtownabbey,"143,504",745,543,"4,767","4,296"
N09000011,Ards_and_North_Down,"161,725",492,348,"4,176","3,514"
S12000035,Argyll_and_Bute,"85,870",290,380,"3,640","3,620"
N09000002,Armagh_City_Banbridge_and_Craigavon,"216,205","1,829",837,"5,138","5,066"
E07000224,Arun,"160,758",795,466,"8,308","6,899"
E07000170,Ashfield,"127,918",266,153,"6,760","6,235"
E07000105,Ashford,"130,032",629,410,"6,522","6,163"
E07000200,Babergh,"92,036",213,175,"5,662","4,744"
E09000002,Barking_and_Dagenham,"212,906","3,760","1,284","15,149","19,066"
E09000003,Barnet,"395,869","7,269","3,792","26,583","28,906"
E08000016,Barnsley,"246,866","1,048",593,"8,771","7,607"
E07000027,Barrow_in_Furness,"67,049",108,50,"1,691","1,860"
E07000066,Basildon,"187,199",652,392,"9,657","9,599"
E07000084,Basingstoke_and_Deane,"176,582",780,833,"9,032","8,742"
E07000171,Bassetlaw,"117,459",403,246,"5,163","4,575"
E06000022,Bath_and_North_East_Somerset,"193,282","3,065","2,069","16,895","16,747"
E06000055,Bedford,"173,292","1,447","1,212","9,432","8,604"
N09000003,Belfast,"343,542","5,660","5,040","16,779","17,443"
E09000004,Bexley,"248,287","1,171",432,"14,245","14,916"
E08000025,Birmingham,"1,141,816","16,548","12,121","51,981","63,541"
E07000129,Blaby,"101,526",201,176,"6,449","5,619"
E06000008,Blackburn_with_Darwen,"149,696",859,261,"5,733","6,342"
E06000009,Blackpool,"139,446",420,289,"7,950","7,763"
W06000019,Blaenau_Gwent__Blaenau_Gwent,"69,862",87,48,"2,082","1,940"
E07000033,Bolsover,"80,562",239,99,"5,027","4,135"
E08000001,Bolton,"287,550","2,049",558,"11,002","11,343"
E07000136,Boston,"70,173","1,313",386,"3,094","3,198"
E06000058,Bournemouth_Christchurch_and_Poole,"395,331","4,340","3,726","22,092","22,771"
E06000036,Bracknell_Forest,"122,549",924,536,"7,000","7,171"
E08000032,Bradford,"539,776","3,688","2,207","18,184","20,020"
E07000067,Braintree,"152,604",361,339,"8,322","7,371"
E07000143,Breckland,"139,968",635,537,"7,609","6,611"
E09000005,Brent,"329,771","8,801","5,608","24,533","31,882"
E07000068,Brentwood,"77,021",280,162,"4,994","4,787"
W06000013,Bridgend__Pen_y_bont_ar_Ogwr,"147,049",258,175,"5,796","3,498"
E06000043,Brighton_and_Hove,"290,885","5,891","4,097","22,453","24,061"
E06000023,Bristol_City_of,"463,377","7,071","8,646","36,391","37,107"
E07000144,Broadland,"130,783",193,89,"7,910","6,373"
E09000006,Bromley,"332,336","1,540","1,011","19,250","19,884"
E07000234,Bromsgrove,"99,881",232,109,"6,460","5,140"
E07000095,Broxbourne,"97,279",426,358,"5,978","6,047"
E07000172,Broxtowe,"114,033",666,341,"8,724","8,172"
E06000060,Buckinghamshire,"543,973","3,949","3,062","29,075","27,458"
E07000117,Burnley,"88,920",492,138,"3,844","4,018"
E08000002,Bury,"190,990",957,302,"8,746","9,113"
W06000018,Caerphilly__Caerffili,"181,075",135,122,"5,058","4,986"
E08000033,Calderdale,"211,455",745,282,"8,872","8,258"
E07000008,Cambridge,"124,798","5,354","5,147","16,358","18,070"
E09000007,Camden,"270,029","16,514","7,265","24,141","27,036"
E07000192,Cannock_Chase,"100,762",181,93,"4,698","4,287"
E07000106,Canterbury,"165,394","2,609","1,083","14,136","14,436"
W06000015,Cardiff__Caerdydd,"366,903","6,384","3,731","22,910","24,012"
E07000028,Carlisle,"108,678",386,283,"4,103","3,868"
W06000010,Carmarthenshire__Sir_Gaerfyrddin,"188,771",431,265,"7,409","5,919"
E07000069,Castle_Point,"90,376",111,49,"4,471","3,986"
N09000004,Causeway_Coast_and_Glens,"144,838",414,493,"4,618","4,318"
E06000056,Central_Bedfordshire,"288,648","1,905","1,203","17,659","14,588"
W06000008,Ceredigion__Ceredigeon,"72,695",721,346,"5,318","5,695"
E07000130,Charnwood,"185,851","1,892",771,"15,749","13,881"
E07000070,Chelmsford,"178,388",918,625,"10,759","10,091"
E07000078,Cheltenham,"116,306","1,036","1,411","8,629","9,110"
E07000177,Cherwell,"150,503","1,097","1,229","9,178","8,181"
E06000049,Cheshire_East,"384,152","1,392","1,001","18,034","14,703"
E06000050,Cheshire_West_and_Chester,"343,071","1,362",779,"17,308","15,290"
E07000034,Chesterfield,"104,900",180,97,"4,791","4,471"
E07000225,Chichester,"121,129",782,575,"8,562","8,019"
E07000118,Chorley,"118,216",248,88,"6,303","5,117"
S12000036,City_of_Edinburgh,"524,930","10,990","4,280","21,540","22,340"
E09000001,City_of_London,"9,721","1,232",388,"1,116",971
S12000005,Clackmannanshire,"51,540",140,90,"1,600","1,490"
E07000071,Colchester,"194,706","2,293","1,424","12,739","11,931"
W06000003,Conwy__Conwy,"117,203",252,159,"4,835","4,353"
E07000029,Copeland,"68,183",76,36,"1,889","2,028"
E06000052,Cornwall,"569,578","1,960","2,513","25,172","19,645"
E07000079,Cotswold,"89,862",464,533,"6,818","5,808"
E06000047,County_Durham,"530,094","2,695",927,"22,711","20,737"
E08000026,Coventry,"371,521","11,126","3,549","21,341","25,582"
E07000163,Craven,"57,142",149,88,"3,388","2,962"
E07000226,Crawley,"112,409","1,125",863,"4,953","6,078"
E09000008,Croydon,"386,710","3,581","2,295","24,761","27,542"
E07000096,Dacorum,"154,763",834,654,"8,445","8,677"
E06000005,Darlington,"106,803",327,253,"4,562","4,321"
E07000107,Dartford,"112,606",454,322,"8,985","7,003"
W06000004,Denbighshire__Sir_Ddinbych,"95,696",302,143,"4,577","4,099"
E06000015,Derby,"257,302","2,373","1,353","13,148","14,814"
E07000035,Derbyshire_Dales,"72,325",148,72,"4,167","3,589"
N09000005,Derry_City_and_Strabane,"151,284",589,566,"3,795","3,995"
E08000017,Doncaster,"311,890","1,665","1,038","10,403","9,827"
E06000059,Dorset,"378,508","1,172",937,"19,853","16,743"
E07000108,Dover,"118,131",374,289,"5,727","4,455"
E08000027,Dudley,"321,596",854,472,"12,169","11,845"
S12000006,Dumfries_and_Galloway,"148,860",270,380,"3,950","3,110"
S12000042,Dundee_City,"149,320","1,600",670,"5,720","5,830"
E09000009,Ealing,"341,806","7,334","4,820","26,665","32,257"
S12000008,East_Ayrshire,"122,010",110,190,"3,410","2,890"
E07000009,East_Cambridgeshire,"89,840",587,594,"4,991","4,607"
E07000040,East_Devon,"146,284",364,256,"9,210","6,804"
S12000045,East_Dunbartonshire,"108,640",130,150,"3,730","3,290"
E07000085,East_Hampshire,"122,308",412,271,"8,210","6,595"
E07000242,East_Hertfordshire,"149,748",781,502,"9,572","8,566"
E07000137,East_Lindsey,"141,727",308,126,"8,575","6,956"
S12000010,East_Lothian,"107,090",480,260,"4,080","3,030"
S12000011,East_Renfrewshire,"95,530",150,130,"3,430","3,080"
E06000011,East_Riding_of_Yorkshire,"341,173",776,574,"16,340","13,906"
E07000193,East_Staffordshire,"119,754",785,397,"5,700","5,186"
E07000244,East_Suffolk,"249,461",706,487,"11,503","9,569"
E07000061,Eastbourne,"103,745",735,398,"6,482","5,863"
E07000086,Eastleigh,"133,584",272,186,"8,451","7,133"
E07000030,Eden,"53,253",178,93,"2,574","2,161"
E07000207,Elmbridge,"136,795",942,971,"8,844","9,055"
E09000010,Enfield,"333,794","4,108","1,606","18,388","23,461"
E07000072,Epping_Forest,"131,689",638,337,"8,386","8,561"
E07000208,Epsom_and_Ewell,"80,627",523,324,"5,977","5,756"
E07000036,Erewash,"115,371",160,162,"5,769","5,807"
E07000041,Exeter,"131,405","2,645","2,100","14,215","13,919"
S12000014,Falkirk,"160,890",300,260,"4,190","3,510"
E07000087,Fareham,"116,233",264,183,"6,119","6,124"
E07000010,Fenland,"101,850",690,361,"5,264","5,107"
N09000006,Fermanagh_and_Omagh,"117,397",861,453,"2,901","3,268"
S12000047,Fife,"373,550","1,940","1,170","9,920","8,400"
W06000005,Flintshire__Sir_y_Fflint,"156,100",507,468,"5,200","4,708"
E07000112,Folkestone_and_Hythe,"112,996",343,183,"5,472","4,791"
E07000080,Forest_of_Dean,"86,791",244,172,"4,686","4,308"
E07000119,Fylde,"80,780",188,90,"5,415","4,036"
E08000037,Gateshead,"202,055","1,240",564,"8,557","9,601"
E07000173,Gedling,"117,896",208,144,"6,853","6,812"
S12000049,Glasgow_City,"633,120","12,320","4,330","23,310","25,030"
E07000081,Gloucester,"129,128",768,679,"7,026","7,638"
E07000088,Gosport,"84,838",190,146,"3,577","3,986"
E07000109,Gravesham,"106,939",582,452,"5,793","5,780"
E07000145,Great_Yarmouth,"99,336",433,253,"4,118","4,154"
E09000011,Greenwich,"287,942","4,070","2,142","22,150","24,813"
E07000209,Guildford,"148,998","3,533","1,696","12,313","13,692"
W06000002,Gwynedd__Gwynedd,"124,560","1,246",461,"6,063","6,116"
E09000012,Hackney,"281,120","5,152","4,552","23,806","26,179"
E06000006,Halton,"129,410",348,189,"4,541","3,935"
E07000164,Hambleton,"91,594",213,116,"5,021","4,434"
E09000013,Hammersmith_and_Fulham,"185,143","4,995","4,881","21,264","22,943"
E07000131,Harborough,"93,807",266,133,"5,964","4,730"
E09000014,Haringey,"268,647","6,016","5,300","24,138","29,256"
E07000073,Harlow,"87,067",558,429,"4,614","4,724"
E07000165,Harrogate,"160,831",921,"1,061","7,962","7,396"
E09000015,Harrow,"251,160","4,345","1,955","16,911","20,369"
E07000089,Hart,"97,073",364,259,"6,177","5,728"
E06000001,Hartlepool,"93,663",394,79,"3,059","2,958"
E07000062,Hastings,"92,661",461,357,"4,470","4,836"
E07000090,Havant,"126,220",239,159,"6,598","6,202"
E09000016,Havering,"259,552","1,495",663,"14,757","14,839"
E06000019,Herefordshire_County_of,"192,801","1,215",633,"7,490","7,026"
E07000098,Hertsmere,"104,919",657,611,"7,578","7,249"
E07000037,High_Peak,"92,666",217,166,"4,545","4,070"
S12000017,Highland,"235,830",820,640,"6,620","5,810"
E09000017,Hillingdon,"306,870","5,335","2,292","20,746","23,875"
E07000132,Hinckley_and_Bosworth,"113,136",262,235,"6,118","5,458"
E07000227,Horsham,"143,791",645,387,"8,636","7,306"
E09000018,Hounslow,"271,523","5,266","2,040","18,491","23,365"
E07000011,Huntingdonshire,"177,963",662,892,"9,263","8,929"
E07000120,Hyndburn,"81,043",256,48,"3,580","3,748"
S12000018,Inverclyde,"77,800",150,90,"1,460","1,430"
