Middle layer Super Output Areas Code,Middle layer Super Output Areas,Higher_managerial_administrative_and_professional_occupations,Lower_managerial_administrative_and_professional_occupations,Intermediate_occupations,Small_employers_and_own_account_workers,Lower_supervisory_and_technical_occupations,Semi_routine_occupations,Routine_occupations,Never_worked_and_long_term_unemployed,Full_time_students,Does_not_apply,total
E02000001,City of London 001,3176,1914,433,568,134,289,255,437,798,579,8583
E02000002,Barking and Dagenham 001,400,919,612,779,314,741,726,822,671,2297,8281
E02000003,Barking and Dagenham 002,787,1485,1030,1259,364,1010,984,1032,894,2695,11540
E02000004,Barking and Dagenham 003,460,1002,684,638,326,608,615,565,418,1325,6641
E02000005,Barking and Dagenham 004,598,1293,892,988,425,1025,1043,973,747,3096,11080
E02000007,Barking and Dagenham 006,442,1130,805,875,401,998,1076,930,808,2696,10161
E02000008,Barking and Dagenham 007,546,1356,1030,1335,528,1288,1466,1307,995,3399,13250
E02000009,Barking and Dagenham 008,615,1421,888,1215,445,1136,1317,1222,1096,3510,12865
E02000010,Barking and Dagenham 009,400,1069,762,958,355,951,994,871,714,2410,9484
E02000011,Barking and Dagenham 010,334,875,590,798,287,658,698,619,558,1613,7030
E02000012,Barking and Dagenham 011,869,1545,1045,1122,337,804,752,1263,1108,2666,11511
E02000013,Barking and Dagenham 012,391,992,719,928,374,933,1001,908,717,2432,9395
E02000014,Barking and Dagenham 013,379,1055,742,1003,437,984,1179,922,733,2432,9866
E02000015,Barking and Dagenham 014,354,887,599,740,322,844,886,802,598,2200,8232
E02000016,Barking and Dagenham 015,793,1089,635,876,302,840,915,1177,955,2984,10566
E02000017,Barking and Dagenham 016,590,922,662,1123,332,756,861,1050,846,1991,9133
E02000018,Barking and Dagenham 017,384,977,734,987,372,893,961,926,764,2554,9552
E02000019,Barking and Dagenham 018,449,1116,734,839,364,831,999,941,752,2641,9666
E02000020,Barking and Dagenham 019,889,1656,1001,1343,482,1131,1182,1391,1189,3791,14055
E02000021,Barking and Dagenham 020,321,928,712,837,336,826,913,804,691,2391,8759
E02000022,Barking and Dagenham 021,474,889,516,619,237,629,584,666,803,2324,7741
E02000023,Barking and Dagenham 022,301,858,568,609,270,663,759,804,775,2413,8020
E02000024,Barnet 001,2099,2379,941,1058,261,608,443,558,576,1918,10841
E02000025,Barnet 002,1305,1665,804,891,296,516,418,593,499,1595,8582
E02000026,Barnet 003,1045,1244,632,722,164,343,258,416,390,1241,6455
E02000027,Barnet 004,1169,1608,836,922,302,765,691,778,656,1920,9647
E02000028,Barnet 005,1102,1303,556,689,164,421,285,414,372,1228,6534
E02000029,Barnet 006,1177,1594,877,1040,267,624,592,688,580,2240,9679
E02000030,Barnet 007,1746,1700,785,1173,205,496,374,654,585,1740,9458
E02000031,Barnet 008,1785,1608,700,836,160,392,326,581,422,1521,8331
E02000032,Barnet 009,1281,1387,776,967,191,413,381,520,512,1515,7943
E02000033,Barnet 010,1012,1525,828,1019,294,650,544,750,523,1746,8891
E02000034,Barnet 011,1365,1573,802,1062,262,559,477,604,573,1807,9084
E02000035,Barnet 012,1616,1538,660,933,195,495,435,741,471,1446,8530
E02000036,Barnet 013,1330,1787,975,1385,283,733,567,886,703,2596,11245
E02000037,Barnet 014,1736,1791,980,1177,179,563,371,721,694,2623,10835
E02000038,Barnet 015,1525,1837,868,1290,252,662,584,913,711,2077,10719
E02000039,Barnet 016,1286,1308,514,922,118,351,320,404,433,1512,7168
E02000040,Barnet 017,1643,1580,643,974,201,483,385,622,718,1889,9138
E02000041,Barnet 018,1037,1343,840,1288,270,642,573,780,676,2007,9456
E02000042,Barnet 019,1681,2026,818,1326,314,712,656,1131,742,2153,11559
E02000043,Barnet 020,1635,1415,575,724,133,282,231,492,404,1679,7570
E02000044,Barnet 021,843,1245,742,968,283,682,678,784,650,1969,8844
E02000045,Barnet 022,1230,1657,798,1227,312,760,674,889,736,2240,10523
E02000046,Barnet 023,1314,1371,518,770,186,350,345,472,375,1262,6963
E02000047,Barnet 024,730,1377,931,1531,459,1049,1112,1328,1062,2816,12395
E02000048,Barnet 025,1861,1760,810,1176,184,545,358,704,690,2196,10284
E02000049,Barnet 026,874,1259,743,952,348,885,821,1125,1013,2512,10532
E02000050,Barnet 027,1502,1789,765,995,280,685,660,885,806,2013,10380
E02000051,Barnet 028,1741,1514,638,1188,198,441,390,831,552,1666,9159
E02000052,Barnet 029,1905,2099,703,904,238,558,419,570,576,1879,9851
E02000054,Barnet 031,1032,1177,529,1037,208,448,443,666,681,1410,7631
E02000055,Barnet 032,1419,1682,817,1471,344,739,781,884,1357,2229,11723
E02000056,Barnet 033,2244,1638,544,979,135,325,230,538,567,1929,9129
E02000057,Barnet 034,956,1154,570,950,172,427,382,588,735,2079,8013
E02000058,Barnet 035,2065,1773,790,1058,154,461,334,659,667,2267,10228
E02000059,Barnet 036,1300,1604,897,1579,390,888,1077,1026,862,2003,11626
E02000060,Barnet 037,1314,1649,1020,1115,249,585,383,883,798,3562,11558
E02000061,Barnet 038,1785,1517,491,913,164,365,325,685,644,1458,8347
E02000062,Barnet 039,515,917,470,781,238,560,619,805,558,1493,6956
E02000063,Barnet 040,830,1058,533,985,225,511,484,857,601,1501,7585
E02000064,Barnet 041,1001,1030,489,650,195,388,413,603,565,1339,6673
E02000065,Bexley 001,480,977,651,650,281,816,669,609,807,2122,8062
E02000066,Bexley 002,524,1151,740,709,402,979,1019,936,792,2178,9430
E02000067,Bexley 003,764,1460,981,845,457,924,1000,810,664,2325,10230
E02000068,Bexley 004,510,1124,757,579,319,780,762,668,530,2147,8176
E02000069,Bexley 005,679,1159,781,597,292,654,658,492,362,1538,7212
E02000070,Bexley 006,812,1268,1024,784,335,720,696,506,409,1557,8111
E02000071,Bexley 007,629,1148,939,603,377,645,693,536,414,1686,7670
E02000072,Bexley 008,904,1736,1120,834,505,1209,1295,984,901,3436,12924
E02000073,Bexley 009,1284,1827,1515,910,437,899,737,574,519,2022,10724
E02000074,Bexley 010,544,1218,923,641,417,936,982,687,512,2000,8860
E02000075,Bexley 011,964,1404,1141,715,379,677,549,430,348,1380,7987
E02000077,Bexley 013,794,1294,962,707,374,720,665,587,465,1570,8138
E02000078,Bexley 014,857,1455,1062,662,385,676,599,374,324,1539,7933
E02000079,Bexley 015,1083,1626,1109,774,350,698,586,512,359,1673,8770
E02000080,Bexley 016,1100,1668,1292,941,423,888,722,557,496,1978,10065
E02000081,Bexley 017,832,1462,1046,723,358,715,617,483,381,1689,8306
E02000082,Bexley 018,1009,1586,1229,891,428,751,634,476,452,1880,9336
E02000083,Bexley 019,1120,1821,1253,873,506,985,1028,678,620,2386,11270
E02000084,Bexley 020,1434,2074,1432,1167,367,793,639,537,486,2186,11115
