Lower tier local authorities Code,Lower tier local authorities,Occupancy_rating_of_rooms_+2_or_more,Occupancy_rating_of_rooms_+1,Occupancy_rating_of_rooms_0,Occupancy_rating_of_rooms_-1,Occupancy_rating_of_rooms_-2_or_less,Total
E06000031,Peterborough,36334,22170,20015,4899,1115,84533
E06000032,Luton,26759,19018,21617,8760,2786,78940
E06000033,Southend-on-Sea,32849,20314,19878,4680,623,78344
E06000034,Thurrock,23533,18072,18744,4979,1049,66377
E06000035,Medway,51648,29497,23654,5700,959,111458
E06000036,Bracknell Forest,23471,12966,11347,2183,281,50248
E06000037,West Berkshire,34726,16558,12702,2402,270,66658
E06000038,Reading,25314,16619,18938,5674,1139,67684
E06000039,Slough,12801,11883,17534,7706,2500,52424
E06000040,Windsor and Maidenhead,31337,14907,11690,2502,496,60932
E06000041,Wokingham,39557,16463,10889,2004,251,69164
E06000042,Milton Keynes,49435,28935,26537,6789,1406,113102
E06000043,Brighton and Hove,37565,30229,38395,13957,1256,121402
E06000044,Portsmouth,36501,22193,21375,5381,705,86155
E06000045,Southampton,34102,26638,31638,8678,1236,102292
E06000046,Isle of Wight,31072,18840,12165,2438,260,64775
E06000055,Bedford,37052,17407,15946,3859,687,74951
E06000056,Central Bedfordshire,62559,31844,22304,3545,503,120755
E06000060,Buckinghamshire,116612,51944,41981,8259,1532,220328
E07000008,Cambridge,21141,13128,14253,3285,665,52472
E07000009,East Cambridgeshire,20075,9914,6102,989,122,37202
E07000010,Fenland,21669,12784,7903,1500,227,44083
E07000011,Huntingdonshire,43277,18656,12820,1885,242,76880
E07000012,South Cambridgeshire,38515,16427,10453,1439,162,66996
E07000061,Eastbourne,17309,13578,11139,3191,393,45610
E07000062,Hastings,16190,10944,10497,2500,322,40453
E07000063,Lewes,20527,12169,8741,2046,205,43688
E07000064,Rother,21831,11499,7128,1446,198,42102
E07000065,Wealden,37782,17675,10784,1821,204,68266
E07000066,Basildon,32070,20455,18993,4217,627,76362
E07000067,Braintree,32604,17403,12718,2008,252,64985
E07000068,Brentwood,16335,7982,6458,1381,184,32340
E07000069,Castle Point,17284,11043,7221,1597,242,37387
E07000070,Chelmsford,38692,18339,15364,2660,346,75401
E07000071,Colchester,37544,21194,17169,3347,456,79710
E07000072,Epping Forest,25400,13940,11809,2952,455,54556
E07000073,Harlow,11449,10300,11778,3761,567,37855
E07000074,Maldon,16323,6351,4416,708,102,27900
E07000075,Rochford,18732,9235,6252,1202,137,35558
E07000076,Tendring,29031,23129,12592,2354,345,67451
E07000077,Uttlesford,21753,8358,5923,836,87,36957
E07000084,Basingstoke and Deane,38075,20156,15383,2698,332,76644
E07000085,East Hampshire,29363,12647,8883,1651,176,52720
E07000086,Eastleigh,28472,15771,10877,1632,172,56924
E07000087,Fareham,27651,12371,7411,1092,113,48638
E07000088,Gosport,16843,9836,7765,1319,159,35922
E07000089,Hart,23133,9403,6439,889,99,39963
E07000090,Havant,25145,14483,11178,2454,329,53589
E07000091,New Forest,42328,20179,12347,2452,260,77566
E07000092,Rushmoor,15645,10395,10420,2382,459,39301
E07000093,Test Valley,30154,13803,9200,1380,170,54707
E07000094,Winchester,27556,12579,9731,1688,161,51715
E07000095,Broxbourne,16156,10328,9867,3024,475,39850
E07000096,Dacorum,28769,15930,15658,2743,312,63412
E07000098,Hertsmere,17853,11147,10438,2776,468,42682
E07000099,North Hertfordshire,27324,15198,12150,1859,200,56731
E07000102,Three Rivers,17995,9150,7595,1861,257,36858
E07000103,Watford,14645,9251,11072,3889,769,39626
E07000105,Ashford,26294,14260,10568,2069,392,53583
E07000106,Canterbury,28702,18396,12964,3297,433,63792
E07000107,Dartford,17916,13100,11277,2922,479,45694
E07000108,Dover,24454,14167,9643,1957,328,50549
E07000109,Gravesham,17766,10588,10071,2715,585,41725
E07000110,Maidstone,35048,18649,14106,2948,457,71208
E07000111,Sevenoaks,26781,11509,8840,1659,224,49013
E07000112,Folkestone and Hythe,22492,13523,9893,2074,356,48338
E07000113,Swale,27584,17361,12138,2843,567,60493
E07000114,Thanet,25158,18874,14499,3138,531,62200
E07000115,Tonbridge and Malling,28190,13720,9737,1712,213,53572
E07000116,Tunbridge Wells,23856,11186,10316,2587,278,48223
E07000143,Breckland,31608,16610,10137,1723,281,60359
E07000144,Broadland,33788,14798,8020,1035,119,57760
E07000145,Great Yarmouth,21506,12118,8796,1861,263,44544
E07000146,King's Lynn and West Norfolk,34727,19286,11157,2004,287,67461
E07000147,North Norfolk,26073,13794,7145,1210,150,48372
E07000148,Norwich,25275,16555,18795,3501,334,64460
E07000149,South Norfolk,35504,15734,8789,1203,151,61381
E07000177,Cherwell,32979,16576,13419,2521,399,65894
E07000178,Oxford,21721,13348,14526,4563,1078,55236
E07000179,South Oxfordshire,33500,16171,10057,1586,184,61498
E07000180,Vale of White Horse,32885,13366,9710,1386,151,57498
E07000181,West Oxfordshire,25862,12643,7960,1336,180,47981
E07000200,Babergh,22891,10200,6098,900,111,40200
E07000202,Ipswich,28469,14185,13471,2882,500,59507
E07000203,Mid Suffolk,25454,11515,6359,893,124,44345
E07000207,Elmbridge,31302,11935,10186,1931,236,55590
E07000208,Epsom and Ewell,16062,7447,6130,1399,283,31321
E07000209,Guildford,28936,12590,11274,2660,300,55760
E07000210,Mole Valley,20022,8318,6917,1730,153,37140
