Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_Managers_directors_and_senior_officials,2_Professional_occupations,3_Associate_professional_and_technical_occupations,4_Administrative_and_secretarial_occupations,5_Skilled_trades_occupations,6_Caring_leisure_and_other_service_occupations,7_Sales_and_customer_service_occupations,8_Process_plant_and_machine_operatives,9_Elementary_occupations,Does_not_apply,total
E02000001,City of London 001,1104,2349,1027,267,97,152,122,50,178,3232,8578
E02000002,Barking and Dagenham 001,277,533,308,298,414,378,254,300,478,5043,8283
E02000003,Barking and Dagenham 002,512,912,539,567,580,519,427,434,748,6304,11542
E02000004,Barking and Dagenham 003,262,614,350,343,390,302,216,280,357,3526,6640
E02000005,Barking and Dagenham 004,432,784,509,467,558,562,434,449,669,6220,11084
E02000007,Barking and Dagenham 006,301,685,409,382,453,573,366,382,718,5893,10162
E02000008,Barking and Dagenham 007,472,758,535,471,745,684,511,569,956,7551,13252
E02000009,Barking and Dagenham 008,417,806,535,509,634,615,464,528,924,7432,12864
E02000010,Barking and Dagenham 009,304,623,373,399,582,534,320,378,718,5254,9485
E02000011,Barking and Dagenham 010,256,454,300,287,407,343,218,348,486,3930,7029
E02000012,Barking and Dagenham 011,563,1015,558,584,445,461,408,490,500,6486,11510
E02000013,Barking and Dagenham 012,301,574,365,354,518,522,340,388,644,5393,9399
E02000014,Barking and Dagenham 013,323,555,372,377,596,557,355,446,804,5483,9868
E02000015,Barking and Dagenham 014,255,529,338,286,360,495,288,382,578,4716,8227
E02000016,Barking and Dagenham 015,341,932,474,358,372,514,385,355,818,6018,10567
E02000017,Barking and Dagenham 016,345,635,404,345,556,349,344,405,769,4982,9134
E02000018,Barking and Dagenham 017,318,540,364,351,549,512,318,377,659,5563,9551
E02000019,Barking and Dagenham 018,380,678,368,379,482,485,323,424,633,5511,9663
E02000020,Barking and Dagenham 019,538,1151,638,573,705,586,532,568,966,7798,14055
E02000021,Barking and Dagenham 020,268,508,316,364,422,510,299,361,658,5052,8758
E02000022,Barking and Dagenham 021,261,600,430,264,289,429,261,295,525,4386,7740
E02000023,Barking and Dagenham 022,239,538,312,315,270,444,248,298,559,4796,8019
E02000024,Barnet 001,961,1822,913,435,274,331,214,154,219,5518,10841
E02000025,Barnet 002,721,1177,635,408,333,310,213,169,233,4385,8584
E02000026,Barnet 003,542,842,457,331,211,214,147,107,126,3480,6457
E02000027,Barnet 004,595,1152,595,441,376,421,248,242,356,5221,9647
E02000028,Barnet 005,557,985,506,299,233,245,165,109,169,3265,6533
E02000029,Barnet 006,622,1163,638,488,446,407,283,217,358,5055,9677
E02000030,Barnet 007,1104,1227,612,398,257,280,177,128,195,5082,9460
