MSOA21CD,cluster_label
E02000001,2
E02000002,3
E02000003,3
E02000004,3
E02000005,3
E02000007,3
E02000008,3
E02000009,3
E02000010,3
E02000011,3
E02000012,3
E02000013,3
E02000014,3
E02000015,3
E02000016,2
E02000017,3
E02000018,3
E02000019,3
E02000020,3
E02000021,3
E02000022,2
E02000023,3
E02000024,1
E02000025,3
E02000026,1
E02000027,3
E02000028,3
E02000029,3
E02000030,4
E02000031,3
E02000032,1
E02000033,3
E02000034,3
E02000035,3
E02000036,3
E02000037,1
E02000038,2
E02000039,1
E02000040,3
E02000041,3
E02000042,2
E02000043,1
E02000044,3
E02000045,2
E02000046,3
E02000047,3
E02000048,1
E02000049,2
E02000050,3
E02000051,2
E02000052,2
E02000054,3
E02000055,2
E02000056,1
E02000057,3
E02000058,1
E02000059,2
E02000060,3
E02000061,2
E02000062,3
E02000063,3
E02000064,3
E02000065,3
E02000066,3
E02000067,3
E02000068,3
E02000069,3
E02000070,1
E02000071,3
E02000072,3
E02000073,1
E02000074,3
E02000075,1
E02000077,3
E02000078,1
E02000079,3
E02000080,1
E02000081,3
E02000082,1
E02000083,3
E02000084,1
E02000085,3
E02000086,1
E02000087,1
E02000088,1
E02000089,1
E02000090,3
E02000091,3
E02000092,3
E02000093,3
E02000094,3
E02000095,3
E02000096,1
E02000097,3
E02000098,3
E02000099,3
E02000100,1
E02000101,3
E02000102,3
E02000103,3
E02000104,3
E02000105,3
E02000106,3
E02000107,2
E02000108,3
E02000110,3
E02000111,3
E02000112,3
E02000113,3
E02000114,2
E02000115,2
E02000116,2
E02000117,2
E02000118,3
E02000119,2
E02000120,2
E02000121,2
E02000122,1
E02000123,2
E02000124,2
E02000125,2
E02000126,2
E02000127,3
E02000128,3
E02000130,3
E02000131,2
E02000132,2
E02000133,1
E02000134,2
E02000135,2
E02000136,1
E02000137,3
E02000138,2
E02000139,3
E02000140,3
E02000141,3
E02000142,1
E02000144,2
E02000145,3
E02000146,3
E02000147,1
E02000148,1
E02000149,3
E02000150,3
E02000151,1
E02000152,3
E02000153,1
E02000154,1
E02000155,1
E02000156,1
E02000157,1
E02000158,1
E02000159,1
E02000160,1
E02000161,1
E02000162,1
E02000163,1
E02000165,1
E02000166,2
E02000167,2
E02000168,2
E02000169,2
E02000170,2
E02000171,2
E02000172,2
E02000173,2
E02000174,2
E02000175,2
E02000176,2
E02000177,2
E02000178,2
E02000179,2
E02000180,2
E02000181,2
E02000182,2
E02000183,2
E02000184,2
E02000185,2
E02000186,2
E02000187,2
E02000188,2
E02000191,2
E02000192,2
E02000193,2
E02000194,2
E02000195,1
E02000196,3
E02000197,3
E02000198,3
E02000199,3
E02000200,2
E02000201,2
E02000202,3
E02000203,3
E02000204,3
E02000206,2
E02000207,3
E02000208,2
E02000209,3
E02000210,3
E02000211,1
E02000212,3
E02000213,2
E02000214,3
E02000215,2
E02000216,3
E02000217,2
E02000218,3
E02000219,1
E02000221,3
E02000222,3
E02000223,3
E02000224,3
E02000225,3
E02000226,1
E02000227,3
E02000228,1
E02000229,3
E02000230,1
E02000231,1
E02000232,1
E02000233,3
E02000234,3
E02000235,1
E02000236,1
E02000237,1
E02000238,3
E02000239,3
E02000240,3
E02000241,3
E02000242,3
E02000243,3
E02000244,3
E02000245,2
E02000246,3
E02000247,3
E02000248,3
E02000249,3
E02000250,3
E02000251,3
E02000252,2
E02000253,3
E02000254,3
E02000255,3
E02000256,2
E02000258,3
E02000259,3
E02000260,3
E02000261,2
E02000262,2
E02000263,3
E02000264,2
E02000265,2
E02000266,2
E02000267,3
E02000268,3
E02000269,3
E02000270,2
E02000271,3
E02000272,3
E02000275,3
E02000276,3
E02000277,3
E02000278,3
E02000279,2
E02000280,3
E02000281,3
E02000282,2
E02000283,3
E02000284,3
E02000285,3
E02000286,3
E02000287,1
E02000288,3
E02000289,1
E02000290,3
E02000291,2
E02000292,3
E02000293,1
E02000294,3
E02000295,3
E02000296,2
E02000297,1
E02000298,1
E02000299,3
E02000300,3
E02000301,3
E02000302,3
E02000303,3
E02000304,1
E02000305,2
E02000306,2
E02000307,3
E02000308,3
E02000309,3
E02000311,3
E02000312,2
E02000313,3
E02000314,2
E02000315,3
E02000317,3
E02000318,3
E02000319,2
E02000320,3
E02000321,3
E02000323,2
E02000324,3
E02000326,3
E02000327,2
E02000328,3
E02000329,3
E02000331,3
E02000332,3
E02000333,3
E02000334,3
E02000335,3
E02000337,3
E02000339,3
E02000340,3
E02000341,3
E02000342,3
E02000343,3
E02000344,3
E02000345,2
E02000346,2
E02000347,2
E02000348,2
E02000350,2
E02000351,2
E02000352,2
E02000353,2
E02000354,2
E02000355,2
E02000356,2
E02000357,3
E02000358,2
E02000359,3
E02000360,2
E02000361,2
E02000362,2
E02000363,2
E02000364,2
E02000366,2
E02000367,2
E02000368,2
E02000369,2
