Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_qualifications,Level_1_and_entry_level_qualifications,Level_2_qualifications,Apprenticeship,Level_3_qualifications,Level_4_qualifications_or_above,Other,Does_not_apply,total
E02000001,City of London 001,529,223,392,80,708,5939,135,579,8585
E02000002,Barking and Dagenham 001,1433,642,786,251,820,1850,203,2297,8282
E02000003,Barking and Dagenham 002,1885,917,1102,359,1250,3010,326,2695,11544
E02000004,Barking and Dagenham 003,1249,560,663,273,777,1634,159,1325,6640
E02000005,Barking and Dagenham 004,1779,789,1015,315,1087,2699,305,3096,11085
E02000007,Barking and Dagenham 006,1777,794,983,312,985,2367,248,2696,10162
E02000008,Barking and Dagenham 007,2484,1070,1365,395,1332,2809,396,3399,13250
E02000009,Barking and Dagenham 008,2077,921,1219,367,1285,3134,351,3510,12864
E02000010,Barking and Dagenham 009,1685,763,903,298,962,2193,271,2410,9485
E02000011,Barking and Dagenham 010,1380,558,654,254,681,1687,204,1613,7031
E02000012,Barking and Dagenham 011,1709,902,1160,270,1423,3022,359,2666,11511
E02000013,Barking and Dagenham 012,1806,749,895,309,887,2095,224,2432,9397
E02000014,Barking and Dagenham 013,1927,836,1021,328,960,2100,261,2432,9865
E02000015,Barking and Dagenham 014,1395,592,838,255,777,1967,202,2200,8226
E02000016,Barking and Dagenham 015,1365,668,751,222,937,3329,310,2984,10566
E02000017,Barking and Dagenham 016,1652,792,834,218,880,2473,292,1991,9132
E02000018,Barking and Dagenham 017,1673,765,850,319,928,2217,245,2554,9551
E02000019,Barking and Dagenham 018,1644,763,900,255,976,2231,253,2641,9663
E02000020,Barking and Dagenham 019,2206,948,1179,330,1341,3869,391,3791,14055
E02000021,Barking and Dagenham 020,1488,737,813,249,843,2001,237,2391,8759
E02000022,Barking and Dagenham 021,903,507,599,136,737,2322,212,2324,7740
E02000023,Barking and Dagenham 022,1145,551,731,209,719,2071,180,2413,8019
E02000024,Barnet 001,956,549,884,294,1060,4976,204,1918,10841
E02000025,Barnet 002,978,524,719,215,1003,3374,176,1595,8584
E02000026,Barnet 003,758,356,615,175,741,2434,137,1241,6457
E02000027,Barnet 004,1413,719,935,277,1049,3118,216,1920,9647
E02000028,Barnet 005,665,382,604,180,696,2628,148,1228,6531
E02000029,Barnet 006,1121,650,846,352,1016,3211,242,2240,9678
E02000030,Barnet 007,1193,488,865,248,1015,3711,195,1740,9455
E02000031,Barnet 008,851,372,624,163,783,3847,170,1521,8331
E02000032,Barnet 009,931,463,745,226,861,3017,181,1515,7939
E02000033,Barnet 010,1118,621,842,291,1015,3052,206,1746,8891
E02000034,Barnet 011,1033,458,740,278,984,3556,229,1807,9085
E02000035,Barnet 012,1001,392,605,194,758,3932,204,1446,8532
E02000036,Barnet 013,1434,670,937,294,1165,3854,294,2596,11244
E02000037,Barnet 014,1169,597,902,240,999,4039,265,2623,10834
E02000038,Barnet 015,1413,575,895,275,1042,4194,248,2077,10719
E02000039,Barnet 016,765,365,573,153,658,2989,154,1512,7169
E02000040,Barnet 017,946,445,774,222,841,3833,188,1889,9138
E02000041,Barnet 018,1434,611,773,237,960,3159,275,2007,9456
E02000042,Barnet 019,1622,592,817,266,1031,4777,301,2153,11559
E02000043,Barnet 020,610,289,458,140,627,3631,136,1679,7570
E02000044,Barnet 021,1399,599,719,267,875,2750,266,1969,8844
