Middle layer Super Output Areas Code,Middle layer Super Output Areas,Female,Male,Total
E02000001,City of London 001,3861,4722,8583
E02000002,Barking and Dagenham 001,4362,3919,8281
E02000003,Barking and Dagenham 002,5834,5708,11542
E02000004,Barking and Dagenham 003,3394,3246,6640
E02000005,Barking and Dagenham 004,5680,5402,11082
E02000007,Barking and Dagenham 006,5352,4810,10162
E02000008,Barking and Dagenham 007,6855,6395,13250
E02000009,Barking and Dagenham 008,6560,6304,12864
E02000010,Barking and Dagenham 009,4972,4513,9485
E02000011,Barking and Dagenham 010,3609,3422,7031
E02000012,Barking and Dagenham 011,5770,5741,11511
E02000013,Barking and Dagenham 012,4871,4527,9398
E02000014,Barking and Dagenham 013,5122,4743,9865
E02000015,Barking and Dagenham 014,4272,3956,8228
E02000016,Barking and Dagenham 015,5347,5221,10568
E02000017,Barking and Dagenham 016,4419,4714,9133
E02000018,Barking and Dagenham 017,4903,4649,9552
E02000019,Barking and Dagenham 018,5011,4652,9663
E02000020,Barking and Dagenham 019,7109,6946,14055
E02000021,Barking and Dagenham 020,4496,4263,8759
E02000022,Barking and Dagenham 021,3964,3777,7741
E02000023,Barking and Dagenham 022,4179,3840,8019
E02000024,Barnet 001,5631,5210,10841
E02000025,Barnet 002,4501,4081,8582
E02000026,Barnet 003,3324,3133,6457
E02000027,Barnet 004,5039,4607,9646
E02000028,Barnet 005,3342,3191,6533
E02000029,Barnet 006,4927,4751,9678
E02000030,Barnet 007,4853,4604,9457
E02000031,Barnet 008,4375,3956,8331
E02000032,Barnet 009,4034,3905,7939
E02000033,Barnet 010,4597,4294,8891
E02000034,Barnet 011,4757,4330,9087
E02000035,Barnet 012,4401,4129,8530
E02000036,Barnet 013,5748,5496,11244
E02000037,Barnet 014,5587,5248,10835
E02000038,Barnet 015,5544,5175,10719
E02000039,Barnet 016,3674,3494,7168
E02000040,Barnet 017,4743,4396,9139
E02000041,Barnet 018,4900,4555,9455
E02000042,Barnet 019,5885,5674,11559
E02000043,Barnet 020,3889,3681,7570
E02000044,Barnet 021,4597,4247,8844
E02000045,Barnet 022,5505,5019,10524
E02000046,Barnet 023,3608,3354,6962
