Middle layer Super Output Areas Code,Middle layer Super Output Areas,Owns_outright,Owns_with_a_mortgage_or_loan,Shared_ownership,Social_rented_Rents_from_council_or_Local_Authority,Other_social_rented,Private_rented_Private_landlord_or_letting_agency,Other_private_rented,Lives_rent_free
E02000001,City of London 001,1114,680,12,449,281,2064,309,5
E02000002,Barking and Dagenham 001,507,729,10,921,278,380,37,8
E02000003,Barking and Dagenham 002,942,1244,24,409,113,1110,87,1
E02000004,Barking and Dagenham 003,649,894,16,261,112,337,39,1
E02000005,Barking and Dagenham 004,582,1300,47,693,219,717,62,8
E02000007,Barking and Dagenham 006,474,979,60,1421,131,555,47,9
E02000008,Barking and Dagenham 007,683,1341,45,1443,199,838,65,11
E02000009,Barking and Dagenham 008,472,1074,79,934,536,1047,107,5
E02000010,Barking and Dagenham 009,484,961,49,904,215,646,66,4
E02000011,Barking and Dagenham 010,584,725,14,239,112,607,72,0
E02000012,Barking and Dagenham 011,861,1355,10,324,78,594,66,0
E02000013,Barking and Dagenham 012,473,855,21,1078,128,623,66,11
E02000014,Barking and Dagenham 013,502,905,18,1012,195,682,69,5
E02000015,Barking and Dagenham 014,375,561,67,1066,366,537,56,4
E02000016,Barking and Dagenham 015,216,510,178,838,475,1500,82,11
E02000017,Barking and Dagenham 016,579,707,12,177,119,1093,78,2
E02000018,Barking and Dagenham 017,420,859,19,983,238,643,63,7
E02000019,Barking and Dagenham 018,405,931,75,923,219,600,52,3
E02000020,Barking and Dagenham 019,530,1346,178,925,535,1042,93,27
E02000021,Barking and Dagenham 020,550,837,29,437,173,832,64,8
E02000022,Barking and Dagenham 021,111,372,202,1118,257,669,60,8
E02000023,Barking and Dagenham 022,194,603,48,1087,196,482,48,5
E02000024,Barnet 001,1640,1383,37,107,230,975,102,1
E02000025,Barnet 002,1061,1079,33,247,298,956,69,2
E02000026,Barnet 003,961,835,21,88,57,493,56,0
E02000027,Barnet 004,908,1062,74,662,405,534,36,4
E02000028,Barnet 005,871,852,9,67,79,754,57,5
E02000029,Barnet 006,930,1169,12,204,138,1162,89,2
E02000030,Barnet 007,1417,1218,9,329,66,393,87,0
E02000031,Barnet 008,1078,1127,104,72,128,752,65,1
E02000032,Barnet 009,1154,1095,11,15,80,350,39,0
E02000033,Barnet 010,1087,1103,66,173,294,708,63,0
E02000034,Barnet 011,1044,1094,59,186,152,978,74,1
E02000035,Barnet 012,971,810,20,176,181,1272,98,2
E02000036,Barnet 013,1128,1248,40,242,257,944,86,1
E02000037,Barnet 014,1133,1203,110,74,437,664,93,3
E02000038,Barnet 015,1112,1263,13,239,163,1102,109,4
E02000039,Barnet 016,850,950,4,81,33,698,55,0
E02000040,Barnet 017,936,1221,70,228,394,578,81,2
E02000041,Barnet 018,937,816,20,228,135,1105,85,1
E02000042,Barnet 019,1186,1042,14,176,145,2041,108,5
E02000043,Barnet 020,985,882,9,29,30,696,34,1
E02000044,Barnet 021,576,770,48,588,257,757,71,3
E02000045,Barnet 022,905,1080,34,589,303,1177,104,10
E02000046,Barnet 023,685,643,16,24,85,1360,66,0
E02000047,Barnet 024,696,822,52,930,377,1230,93,10
E02000048,Barnet 025,1242,1286,10,58,151,1101,102,0
E02000049,Barnet 026,278,743,144,918,1006,616,82,15
E02000050,Barnet 027,938,977,46,322,690,976,71,14
E02000051,Barnet 028,1234,851,8,140,64,1392,102,1
E02000052,Barnet 029,1069,1057,14,419,257,1290,80,6
E02000054,Barnet 031,664,711,24,33,152,1308,79,0
E02000055,Barnet 032,915,794,14,366,178,2088,146,2
E02000056,Barnet 033,1289,1055,13,51,157,769,107,0
E02000057,Barnet 034,624,611,5,127,85,1148,104,1
E02000058,Barnet 035,1349,953,10,85,154,1446,97,3
E02000059,Barnet 036,875,1050,39,390,330,1647,99,4
E02000060,Barnet 037,911,754,17,57,254,1577,125,1
E02000061,Barnet 038,908,680,14,67,63,1724,113,4
E02000062,Barnet 039,416,380,30,390,326,1008,57,7
E02000063,Barnet 040,700,557,23,100,123,1241,88,2
E02000064,Barnet 041,527,587,27,506,179,867,63,6
E02000065,Bexley 001,375,807,15,209,593,709,50,18
E02000066,Bexley 002,536,569,11,273,1466,611,69,12
E02000067,Bexley 003,791,1187,24,179,625,1085,87,5
E02000068,Bexley 004,512,809,160,215,727,701,67,3
E02000069,Bexley 005,819,1015,83,78,327,420,67,2
E02000070,Bexley 006,1312,1113,40,46,207,361,61,0
E02000071,Bexley 007,973,1027,14,88,321,357,54,1
E02000072,Bexley 008,646,1544,109,307,1306,721,49,6
E02000073,Bexley 009,1740,1701,19,26,137,273,59,0
E02000074,Bexley 010,685,993,136,174,1116,359,35,4
E02000075,Bexley 011,1526,1138,7,22,158,264,34,0
E02000077,Bexley 013,1043,1193,16,46,259,336,43,2
E02000078,Bexley 014,1198,1328,21,44,118,276,36,1
E02000079,Bexley 015,1304,1256,80,42,163,671,68,2
E02000080,Bexley 016,1454,1461,53,34,207,543,63,0
E02000081,Bexley 017,1218,1166,21,79,386,364,45,0
E02000082,Bexley 018,1382,1580,16,17,63,325,59,0
E02000083,Bexley 019,1126,1709,79,164,637,648,82,2
E02000084,Bexley 020,1719,1806,22,26,155,407,63,1
E02000085,Bexley 021,1168,1361,18,23,100,360,39,1
E02000086,Bexley 022,1227,1188,14,12,33,277,37,0
E02000087,Bexley 023,1396,1252,35,18,148,426,42,2
E02000088,Bexley 024,1272,1315,12,20,95,233,34,0
E02000089,Bexley 025,1216,1291,9,15,141,195,36,2
E02000090,Bexley 026,1342,1361,77,46,373,913,81,0
E02000091,Bexley 027,1648,1331,73,67,588,670,70,0
E02000092,Bexley 028,697,765,71,148,725,274,34,0
E02000093,Brent 001,1177,902,106,67,320,1061,106,2
E02000094,Brent 002,833,958,122,102,420,926,103,4
E02000095,Brent 003,1052,680,22,181,180,982,83,3
E02000096,Brent 004,1035,737,12,53,55,543,62,1
E02000097,Brent 005,931,791,16,216,94,920,69,1
E02000098,Brent 006,703,622,28,244,399,805,72,2
E02000099,Brent 007,722,578,30,114,286,1105,80,2
E02000100,Brent 008,975,718,21,42,225,537,48,0
E02000101,Brent 009,650,567,42,322,717,1003,80,6
E02000102,Brent 010,621,356,86,188,419,947,60,4
E02000103,Brent 011,775,573,74,428,463,1079,61,9
E02000104,Brent 012,674,542,62,104,266,684,81,2
E02000105,Brent 013,699,660,39,153,266,1194,95,3
E02000106,Brent 014,737,475,31,283,383,1570,103,4
E02000107,Brent 015,743,690,57,206,605,1925,127,9
E02000108,Brent 016,555,598,65,75,224,709,47,2
E02000110,Brent 018,743,605,30,196,461,988,67,4
E02000111,Brent 019,699,604,33,176,274,1283,115,2
E02000112,Brent 020,857,532,85,132,292,1482,114,2
E02000113,Brent 021,348,297,34,1270,646,626,57,11
E02000114,Brent 022,570,521,55,258,495,1670,130,6
E02000115,Brent 023,542,609,39,574,444,1573,88,7
E02000116,Brent 024,340,334,103,261,840,1285,61,13
E02000117,Brent 025,452,537,156,473,1749,1298,87,7
E02000118,Brent 026,710,745,34,273,277,1005,110,1
E02000119,Brent 027,197,437,211,712,1411,909,60,15
E02000120,Brent 028,580,736,30,363,648,1795,86,5
E02000121,Brent 029,784,683,192,113,394,1295,164,2
E02000122,Brent 030,818,847,33,270,300,813,74,5
E02000123,Brent 031,560,670,84,533,1388,2179,111,13
E02000124,Brent 032,827,958,34,412,435,1396,97,1
E02000125,Brent 033,938,977,26,213,602,1096,82,6
E02000126,Brent 034,188,341,83,1264,850,617,55,7
E02000127,Bromley 001,733,1121,38,174,1063,565,91,4
E02000128,Bromley 002,1007,1206,13,24,337,417,59,0
E02000130,Bromley 004,845,1314,44,65,576,755,61,2
E02000131,Bromley 005,535,1546,67,119,1038,1671,88,3
E02000132,Bromley 006,1168,1381,103,53,596,1521,119,1
E02000133,Bromley 007,1759,1734,51,7,143,575,59,0
E02000134,Bromley 008,1183,1652,16,71,702,1546,123,7
E02000135,Bromley 009,358,813,92,311,1751,1028,80,6
E02000136,Bromley 010,875,771,10,57,377,172,31,1
E02000137,Bromley 011,1232,1288,16,20,223,824,72,1
E02000138,Bromley 012,1574,1174,17,11,153,1103,106,1
E02000139,Bromley 013,802,1347,36,39,410,617,58,1
E02000140,Bromley 014,619,933,53,220,1177,301,34,0
E02000141,Bromley 015,770,1175,28,61,357,652,49,0
E02000142,Bromley 016,1172,1400,13,14,175,622,58,0
E02000144,Bromley 018,1176,1418,64,30,211,1313,98,2
E02000145,Bromley 019,747,1011,79,206,957,453,61,0
E02000146,Bromley 020,1085,1638,60,26,306,851,73,0
E02000147,Bromley 021,1363,1201,2,14,119,419,47,1
E02000148,Bromley 022,1169,1031,8,12,184,267,28,0
E02000149,Bromley 023,995,1143,37,70,572,419,46,2
E02000150,Bromley 024,1132,1356,17,18,268,277,47,0
E02000151,Bromley 025,1401,1263,4,10,56,210,27,1
E02000152,Bromley 026,762,1119,34,108,735,303,35,0
E02000153,Bromley 027,1242,1392,4,10,103,119,25,0
E02000154,Bromley 028,1312,1249,27,31,250,632,72,0
E02000155,Bromley 029,1403,1049,26,36,218,258,49,1
E02000156,Bromley 030,2213,1805,22,16,242,492,71,1
E02000157,Bromley 031,1609,1300,4,7,57,268,35,0
E02000158,Bromley 032,1191,934,28,79,559,212,26,4
E02000159,Bromley 033,1318,1120,10,8,70,245,50,0
E02000160,Bromley 034,1350,1222,20,6,98,303,40,3
E02000161,Bromley 035,1540,1374,3,13,69,303,43,0
E02000162,Bromley 036,1192,967,10,20,479,249,48,0
E02000163,Bromley 037,1371,1208,14,19,177,237,41,1
E02000165,Bromley 039,1057,1306,17,15,110,198,36,2
E02000166,Camden 001,867,639,29,1061,156,544,82,17
E02000167,Camden 002,1143,633,14,205,112,1133,125,10
E02000168,Camden 003,713,702,19,543,440,981,88,8
E02000169,Camden 004,890,637,27,151,116,1088,115,3
E02000170,Camden 005,715,815,24,202,208,1416,81,1
E02000171,Camden 006,736,656,35,598,297,908,97,3
E02000172,Camden 007,433,466,37,1803,434,786,56,21
E02000173,Camden 008,728,517,9,319,266,1531,128,5
E02000174,Camden 009,484,541,9,1195,312,926,77,7
E02000175,Camden 010,592,669,35,429,480,1983,108,13
E02000176,Camden 011,653,503,14,134,173,1429,93,1
E02000177,Camden 012,438,472,10,1584,119,921,99,11
E02000178,Camden 013,365,612,43,866,468,1720,78,14
E02000179,Camden 014,531,380,5,648,100,808,69,8
E02000180,Camden 015,461,477,34,969,395,1068,101,9
E02000181,Camden 016,650,665,19,363,294,1661,93,4
E02000182,Camden 017,576,410,34,460,183,1284,130,6
E02000183,Camden 018,703,545,15,484,692,1069,100,8
E02000184,Camden 019,333,337,85,1207,392,1158,106,15
E02000185,Camden 020,334,413,43,1386,458,1318,97,22
E02000186,Camden 021,435,320,18,466,419,1154,122,6
E02000187,Camden 022,261,197,52,1554,900,770,67,16
E02000188,Camden 023,188,133,13,1245,574,515,35,16
E02000191,Camden 026,320,187,18,305,206,969,96,6
E02000192,Camden 027,297,262,9,1032,536,849,90,15
E02000193,Camden 028,475,252,38,480,584,1105,157,9
E02000194,Croydon 001,786,1255,49,510,446,1063,88,6
E02000195,Croydon 002,1147,1341,55,180,91,562,116,1
E02000196,Croydon 003,785,772,24,394,146,623,59,10
E02000197,Croydon 004,806,918,43,379,151,932,86,2
E02000198,Croydon 005,638,1017,59,307,412,976,81,11
E02000199,Croydon 006,830,1140,25,128,224,766,88,6
E02000200,Croydon 007,692,1332,31,185,345,1327,82,6
E02000201,Croydon 008,527,891,22,550,581,1180,59,10
E02000202,Croydon 009,866,985,17,107,122,856,82,2
E02000203,Croydon 010,530,728,77,351,308,1009,106,8
E02000204,Croydon 011,923,857,37,199,179,926,99,7
E02000206,Croydon 013,597,1081,91,500,620,1464,100,13
E02000207,Croydon 014,612,1031,96,327,634,795,60,5
E02000208,Croydon 015,421,781,156,594,675,1334,111,26
E02000209,Croydon 016,591,975,22,182,400,810,78,5
E02000210,Croydon 017,811,1240,62,165,274,812,80,2
E02000211,Croydon 018,1367,1370,8,30,173,293,49,1
E02000212,Croydon 019,516,780,70,472,379,955,74,16
E02000213,Croydon 020,463,770,106,773,678,2495,96,7
E02000214,Croydon 021,924,869,22,21,106,346,37,0
E02000215,Croydon 022,814,1139,62,434,458,2219,110,19
E02000216,Croydon 023,775,703,9,33,308,1049,64,1
E02000217,Croydon 024,677,1347,115,463,630,1666,111,12
E02000218,Croydon 025,716,652,6,614,145,185,23,10
E02000219,Croydon 026,1487,1080,8,33,54,268,52,1
E02000221,Croydon 028,705,1093,114,775,460,752,78,11
E02000222,Croydon 029,862,1265,43,103,260,1034,68,2
E02000223,Croydon 030,316,417,6,1531,249,238,19,12
E02000224,Croydon 031,721,1176,49,118,183,948,68,8
E02000225,Croydon 032,662,721,25,671,323,212,34,10
E02000226,Croydon 033,1315,1125,15,45,18,226,36,1
E02000227,Croydon 034,1614,1767,30,425,205,714,73,9
E02000228,Croydon 035,1455,1188,5,45,25,256,33,1
E02000229,Croydon 036,407,513,19,788,256,222,25,6
E02000230,Croydon 037,1308,1467,100,156,257,868,69,6
E02000231,Croydon 038,1077,1225,6,29,50,326,39,0
E02000232,Croydon 039,1048,906,23,196,40,126,28,0
E02000233,Croydon 040,640,1047,40,201,126,306,31,4
E02000234,Croydon 041,1000,1349,182,202,378,561,45,3
E02000235,Croydon 042,970,1131,33,111,148,228,35,0
E02000236,Croydon 043,1070,1706,22,110,135,238,26,1
E02000237,Croydon 044,1309,1159,6,333,28,165,29,5
E02000238,Ealing 001,814,1041,38,264,377,1113,85,3
E02000239,Ealing 002,1030,911,22,24,64,797,81,0
E02000240,Ealing 003,720,993,69,787,425,808,62,33
E02000241,Ealing 004,694,798,11,136,100,788,68,5
E02000242,Ealing 005,701,654,17,74,30,675,79,1
E02000243,Ealing 006,836,760,33,286,226,902,67,16
E02000244,Ealing 007,782,729,33,99,121,1085,88,2
E02000245,Ealing 008,399,663,178,671,605,771,58,8
E02000246,Ealing 009,557,857,14,767,174,634,51,19
E02000247,Ealing 010,712,1014,134,504,454,994,63,17
E02000248,Ealing 011,745,595,59,76,71,1371,69,2
E02000249,Ealing 012,747,698,74,287,164,859,71,14
E02000250,Ealing 013,949,823,32,72,52,574,40,2
E02000251,Ealing 014,861,772,25,32,119,640,91,2
E02000252,Ealing 015,682,536,162,260,691,1918,153,8
E02000253,Ealing 016,689,823,43,1330,236,631,60,29
E02000254,Ealing 017,892,667,9,132,55,716,135,2
E02000255,Ealing 018,971,967,28,402,321,1037,60,6
E02000256,Ealing 019,854,842,65,99,313,1759,93,3
E02000258,Ealing 021,550,538,16,123,317,1004,51,4
E02000259,Ealing 022,701,711,41,86,161,632,62,4
E02000260,Ealing 023,802,464,19,185,196,977,105,6
E02000261,Ealing 024,780,828,243,571,543,1812,182,18
E02000262,Ealing 025,592,792,72,300,619,1486,77,8
E02000263,Ealing 026,997,614,80,209,428,1163,147,8
E02000264,Ealing 027,815,775,32,87,279,1459,94,2
E02000265,Ealing 028,829,1040,115,251,855,1516,112,15
E02000266,Ealing 029,622,832,241,879,844,755,104,21
E02000267,Ealing 030,736,915,116,152,292,935,70,3
E02000268,Ealing 031,944,966,34,467,172,1178,92,11
E02000269,Ealing 032,1014,966,11,106,85,1057,68,0
E02000270,Ealing 033,387,966,268,520,861,1026,78,10
E02000271,Ealing 034,869,954,17,74,114,882,66,1
E02000272,Ealing 035,970,850,19,100,63,482,52,3
E02000275,Ealing 038,526,455,19,203,278,756,99,12
E02000276,Ealing 039,645,834,15,147,151,874,56,2
E02000277,Enfield 001,727,701,19,203,167,743,63,5
E02000278,Enfield 002,636,635,40,784,341,795,98,12
E02000279,Enfield 003,614,1053,202,526,594,1343,77,10
E02000280,Enfield 004,1037,1098,34,549,130,479,74,9
E02000281,Enfield 005,756,1016,69,491,283,867,56,12
E02000282,Enfield 006,475,620,23,918,303,1064,42,23
E02000283,Enfield 007,701,807,16,309,167,740,57,3
E02000284,Enfield 008,1064,1165,34,294,121,853,82,5
E02000285,Enfield 009,1084,968,6,46,38,282,36,0
E02000286,Enfield 010,1408,1224,12,124,139,999,93,3
E02000287,Enfield 011,1075,955,50,159,89,472,65,5
E02000288,Enfield 012,736,918,70,597,357,1265,95,15
E02000289,Enfield 013,1065,918,8,88,73,240,35,0
E02000290,Enfield 014,334,498,47,557,251,757,54,19
E02000291,Enfield 015,992,1074,23,450,168,1531,85,6
E02000292,Enfield 016,1031,1278,15,223,67,869,83,3
E02000293,Enfield 017,1122,850,7,46,40,381,45,0
E02000294,Enfield 018,807,748,32,369,203,861,58,8
E02000295,Enfield 019,1114,1010,48,128,182,803,65,0
E02000296,Enfield 020,1042,884,29,309,79,1585,109,3
E02000297,Enfield 021,1535,1254,10,43,40,534,57,2
E02000298,Enfield 022,1158,1173,5,77,30,552,60,1
E02000299,Enfield 023,704,621,56,279,252,1295,103,7
E02000300,Enfield 024,729,674,9,195,175,1129,79,8
E02000301,Enfield 025,612,578,44,662,566,1187,62,15
E02000302,Enfield 026,1064,990,8,234,120,621,75,2
E02000303,Enfield 027,502,530,17,627,318,900,65,17
E02000304,Enfield 028,1202,1036,14,51,21,513,73,1
E02000305,Enfield 029,948,1084,15,34,100,1178,93,0
E02000306,Enfield 030,282,396,81,931,786,827,69,27
E02000307,Enfield 031,1042,953,7,176,101,979,79,6
E02000308,Enfield 032,802,790,57,316,258,920,75,5
E02000309,Enfield 033,755,729,37,506,323,1522,104,10
E02000311,Enfield 035,1024,861,30,236,368,1022,82,12
E02000312,Enfield 036,1148,1007,99,106,251,1764,114,6
E02000313,Greenwich 001,221,348,46,208,1419,311,35,8
E02000314,Greenwich 002,348,1173,165,209,947,1592,87,16
E02000315,Greenwich 003,439,756,19,1248,240,726,53,9
